cellID	stage
P0	1-cell
AB	2-cell
P1	2-cell
ABa	4-cell
ABp	4-cell
EMS	4-cell
P2	4-cell
ABal	8-cell
ABar	8-cell
ABpl	8-cell
ABpr	8-cell
C	8-cell
E	8-cell
MS	8-cell
P3	8-cell
ABalx	16-cell
ABarx	16-cell
ABplx	16-cell
ABprx	16-cell
Cx1	16-cell
Cx2	16-cell
D	16-cell
Ea	16-cell
Ep	16-cell
MSx1	16-cell
MSx2	16-cell
P4	16-cell
