"Term","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"subdirectory",7,713470221.779076,101924317.397011,6.88690603576573,4.65509626735194e-06
"Residuals   ",62,917582967.706638,14799725.2855909,NA,NA
