"contrast","Genotype","ratio","SE","df","null","z.ratio","p.value"
"Diakinesis / (Post-diakinesis)","WT",1.01890996059667,0.0469139083919921,Inf,1,0.406865215468856,0.684106985141562
"Diakinesis / (Post-diakinesis)","tm291",1.01141103605622,0.0413321078209439,Inf,1,0.277650869860667,0.781280378296379
"Diakinesis / (Post-diakinesis)","puf3 puf11",1.78207752581586,0.0844073654600838,Inf,1,12.1985616981972,3.16362691275589e-34
