"Genotype","Diakinesis","Post-diakinesis","FoldChange_Post_vs_Diakinesis"
"WT",11921.1333292053,11699.8888912856,0.981440989559471
"tm291",11371.8000012848,11243.5000171906,0.988717706600562
"puf3 puf11",12189.1874995928,6839.87499029394,0.561142815345358
