"Genotype","Stage","MeanTranscript","SDTranscript","nGonads"
"WT","Diakinesis",11921.1333333333,1291.0184167474,15
"WT","Post-diakinesis",11699.8888888889,1105.18555505902,9
"tm291","Diakinesis",11371.8,761.807991994483,25
"tm291","Post-diakinesis",11243.5,644.452954924649,10
"puf3 puf11","Diakinesis",12189.1875,1390.73871108127,16
"puf3 puf11","Post-diakinesis",6839.875,1672.25745091563,8
