"","Chisq","Df","Pr(>Chisq)"
"(Intercept)",110825.733876069,1,0
"Genotype",4.31337232992569,2,0.115707923386428
"Stage",0.165539303558518,1,0.684106985141562
"Genotype:Stage",99.8303896907002,2,2.09945376821059e-22
