"Comparison","diff","lwr","upr","p adj"
"2-cell_DG5972-2-cell_N2",7463.80072463767,5776.73596586782,9150.86548340753,2.03320693614728e-11
"4-cell_N2-2-cell_N2",-875.861111111109,-3135.72591214409,1384.00368992187,0.736276405001376
"4-cell_DG5972-2-cell_N2",1420.91666666667,-838.948134366314,3680.78146769965,0.353151050050426
"4-cell_N2-2-cell_DG5972",-8339.66183574878,-10612.8855598474,-6066.43811165013,2.0707768833006e-11
"4-cell_DG5972-2-cell_DG5972",-6042.884057971,-8316.10778206965,-3769.66033387235,1.27246906345135e-08
"4-cell_DG5972-4-cell_N2",2296.77777777778,-428.721721115881,5022.27727667144,0.127775737396508
