"Term","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"subdirectory",3,826705160.646785,275568386.882262,57.5118616738595,9.00240857966098e-18
"Residuals   ",61,292281819.968599,4791505.24538686,NA,NA
