transcript	st411	st413	st415	st441	st449	st451	st265	st266	st301	st302	st311	st312	st361	st362	st409	st410	st193	st194	st195	st196	st305	st306	st307	st308	st333	st334	st335	st336	st363	st364	st365	st366	st405	st406	st407	st408	st225	st226	st227	st228	st229	st230	st231	st232	st337	st338	st339	st340	st341	st342	st343	st344	st369	st370	st371	st372	st373	st374	st375	st376	st393	st394	st395	st396	st397	st398	st399	st400	st417	st418	st419	st420	st421	st422	st423	st424	st481	st482	st483	st484	st485	st486	st487	st488	st249	st250	st251	st252	st253	st254	st255	st256	st257	st258	st259	st260	st261	st262	st263	st264	st313	st314	st315	st316	st317	st318	st319	st320	st321	st322	st323	st324	st325	st327	st328	st345	st346	st347	st348	st349	st350	st351	st352	st353	st354	st355	st356	st357	st358	st359	st360	st377	st378	st379	st380	st381	st382	st383	st385	st386	st387	st388	st389	st390	st391	st392	st425	st426	st427	st428	st429	st430	st431	st432	st433	st434	st435	st436	st437	st438	st439	st440	st527	st528	st529	st530	st531	st532	st533	st535	st536	st537	st538	st539	st540	st541	st542	st465	st466	st467	st468	st469	st470	st471	st472	st473	st474	st475	st476	st477	st478	st479	st505	st506	st507	st508	st509	st510	st513	st514	st515	st516	st517	st518	st519	st520	st554	st555	st556	st557	st558	st561	st562	st563	st564	st565	st566	st567	st568
fbxc-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	4.79	0	0	0	0	0	0	0	13.41	0	373.31	23.77	2.03	4.56	13.93	0.52	362.52	0.51	139.47	200.51	147.09	316.17	0	3.77	151.69	0	0	0	11.75	0	0	228.68	0	0	37.39	34.28	3.44	5.79	0	0.85	0.73	0	0	0	0	0	2.72	1.76	0	0	5.69	0	0	0	0	0	0	0	250.35	390.04	375.3	136.15	626.89	342.08	22.1	1010.58	202.71	424.89	5.96	195.76	23.36	516.32	0	0	533.32	87.46	94.13	334.17	551.85	162.63	348.36	483.98	507.97	199.12	860.18	533.96	331.07	1.5	0	0	0	721.62	0.5	464.92	0	2.42	0	0	488.97	77.9	534.52	0	0	0	1.87	0	0	50.88	90.04	0	5.87	20.35	19.03	0	930.67	32.12	0	0	392.46	167.43	45.38	37.69	1.51	1262.9	76.49	0	348.45	0	369.82	27.41	0	1.63	31.16	0	0	0	4.46	8.98	366.27	1.87	422.2	2.8	48.93	613.82	419.57	434.54	292.13	444.27	1549.44	610.53	875.46	136.35	211.87	373.17	372.26	417.77	655.65	545.98	90.05	372.28	325.44	45.42	3.96	7.29	0.43	0.76	9.91	498.34	23.13	995.03	1152.47	0.99	125.83	31.39	6.65	3.89	385.87	14.7	0.68	0.66	17.99	216.98	1016.39	596.84	458.21	360.98	611.15	1445.66	821.77	1232.32	394.2	195.71	66.3
fbxc-19	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	10.52	17.77	0	0	0	0	4.07	0	226.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67	18.31	5	393.46	15.1	12.31	0	44.7	24.8	1.2	0	0	0	0	0	1.69	10.2	10.54	0	0	26	0.65	3.7	0	0	0	177.09	0	27.69	0	0	0	10.73	0	92.43	87.25	0	0	0	0	0.41	0	9.83	0	0	0	0	0	0	0	38.26	0	117.57	0	364.06	0	0.52	0	0	391.97	0	32.96	0	0	69.86	0	0	0	122.28	0	0	0	0	173.72	0	0	0	0	0	0	82.88	0	0	0	0	22.08	0.32	43.06	0	118.76	0	0	17.27	0	96.4	0	4.09	3.29	3.4	0	5.51	0	5.07	0	0	0	0	0	0.61	0	209.47	70.5	0	0	124.47	8.32	0	381.23	0	0	0.27	0	0	0	0	0	0	0	21.31	0	0.22	0	0	0	0
fbxc-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fbxc-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.66	0	102.15	0	0	0	0	2.51	0	0	0	0	0	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0
fbxc-21	0.64	0	0.33	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.25	52.52	167.96	235.87	0	0.53	21.71	2.08	5.04	0	0	177.91	0	202.28	289.58	0	0	0	192.69	178.5	0	163.1	52.37	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38	0	307.27	0	0.72	0	129.91	171.68	1119.03	2.82	1.66	1.17	599.74	141.24	610.65	304.99	45.8	212.92	1.5	13.75	609.89	52.01	237.37	2.72	598.75	262.09	0	2.16	34.55	121.62	0	78.33	3.56	58.61	82.66	323.28	145.92	82.4	307.74	283.04	29.55	0	0	372.22	94.8	86.47	67.58	209.35	0	1.63	0	0	0	0	349.21	0	0	0	0.63	0	27.35	3.16	98.23	0	194.19	56.34	39.84	0	0.66	0	42.96	4.77	917.86	115.74	0	40.94	0	0	0	0	663.36	0	0	0	0	0	0	0	1.1	0	1.51	0	726.72	87.15	316.06	0	49.67	395.75	425.54	132.65	16.93	88.45	1457.26	0.52	77.95	357.14	772.02	125.19	236.98	400.19	9.99	103.51	188.98	63.42	112.56	192.62	0	0	0.43	0.77	3.1	596.74	150.57	6.31	610.06	1414.51	132.02	53.11	6.75	0	3.17	26.86	0	0.67	1.36	1.31	257.96	578.45	34.53	0.27	63.9	183.36	165.06	2.13	0	60.02	20.19
fbxc-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.86	0	262.81	0	0	0.4	0	304.55	149.3	0	0	146.66	0	235.14	0	0	0	0	0	0	0	3.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	88.94	0	0	0	0	219.89	9.52	362.16	0	0	0.77	4.39	14.11	213.59	641.32	54.45	7.98	98.49	0	0.52	2.11	198.16	11.04	0	9.09	411.38	0	0.58	0.55	0.49	0	527.06	241.43	37.38	0	0	224.47	4.47	83.72	41.41	104.65	0	0	0	0	0	0	1.44	0	0	0	0	0	0	0	311.63	136.07	0	0	0	0	193.58	0	480.45	0	73.64	20.57	102.18	0	0	0	0	0	0.64	0	0	0	0	0	0	0	0	0	2.95	178.19	653.11	158.31	555.06	1.39	0	188.36	2.78	0.85	155.76	76.95	33.85	0	0.5	27.92	0.6	431.25	156.62	245.83	0	0	20.19	515.69	0	0.47	0	154.64	0	0	15.89	140.93	649.97	0	1.11	0	53.17	10.38	26.4	0	3.72	0	0	0	0.53	3.84	210.09	483.53	6.65	0	343.28	0.37	381.7	4.17	2.63	762.56	31.25
fbxc-23	0	0	0	0	0.62	0	25.38	0	0	0	0.69	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	22.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34	0	0	0	0	0	0	0	0	0	0	0	2.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fbxc-24	0.22	0	0	0	0	0	0	0	1.3	0	0	11.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	1.14	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.27	0	0	0	0	0	31.5	0	0	0	0	46.65	0	0	0	0	0	0	0	0	0	0	77.87	0	0	1.02	613.85	0	8.61	0.58	0	0	283.46	0	3.02	0	0	0	3.57	109.62	211.2	0.5	0	274.19	24.2	0	265.87	0	2.31	0	0	0	0	0	0	407.4	0	665.8	0	0	0	0	176.07	0	0	0	5.95	0	0	0	0	0	1.39	0	101.56	0	142.6	0	0	0	401.4	0	0	0	252.87	902.99	14.62	0	0	0.74	0	237.66	1.27	213.17	6.69	0.51	0	23.45	0	0	43.16	0	280.03	0	66.49	0	156.11	0.45	225.64	27.02	0	0	0	0	0	0	0	0.6	0	42.97	0	0	0	0	0	0	0	0	1.7	4.1	89.57	656.56	195.04	0.84	0	329.19	99.08	2.22	0.35	31.04	17.53
fbxc-25	0	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.24	0	0	0	0	0	0	0	93.18	0	108.99	0	0	72.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47	0	10.8	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	0	0	0	0	0	0	0	4.98	0	0	0	0	5.12	0	209.98	34.43	0	0	39.12	0	0	0	0	0	0	0	0	0	0	0	0	126.06	0	65.47	0	0	0	0	1.58	4.75	861.9	83.04	0	0	0	0	0	0	0	0	0	18.75	0	0	0	0	0	0	0	208.01	0	0	0	0	0	0	141.82	203.83	11.63	0.97	0	0	0	0.49	166.29	0	3.12	0.42	131.9	0	0	0	0	0	0	0	0	0.77	0.77	0	0	0	137.86	0	85.23	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0.28	0	0	0	0
fbxc-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	12.05	5.81	0.7	0	0	0	7.58	0	194.85	0	7.7	0	0	0.56	0	0	11.12	0	69.22	0	0.37	0	524.55	0	19.03	0	0.36	0	0	1.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	7	20.44	428.64	12.01	0	237.28	1.53	102.07	375.44	197.31	43.39	64.1	688.83	0	0	0	0	17.63	0	52.12	1.21	0	0.6	1.14	1.02	0	497.4	347.61	0	0	0	169.5	2.34	0	52.15	381.45	101.17	0.84	11.24	0	11.2	23.13	19.65	0	0	0	0	0	0	3.24	1.61	110.14	0	0	0	0	37.18	0	1184.08	0	63.11	10.77	0	77.44	0	2.47	0	0	0	0	0	0	0	0	3.93	0	0	0	72.55	120.48	14.36	32.49	6.32	0	0	387.21	0	268.03	31.08	339.33	19.89	67.53	50.4	81.7	1.87	396.38	432.86	15.91	561.85	71.48	360.39	86.57	50.98	0	4.12	5.68	0	0.79	1.59	115.82	621.28	1.76	58.9	0	0	0	13.83	0	0	0	0.36	0	0.56	5.37	0	347.26	80.66	0.55	506.03	73.76	195.91	1.09	41.38	0	6.89
fbxc-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.52	20.7	0	0	0	0.55	0	0	0	5.88	0	0	0	10.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.66	11.3	0	0	0	11.91	0	0	0	0	0	0	0	0	17.38	0	0	79.05	0	2.46	73.86	0	0	0	19.79	0	1.59	0	0	57.7	0	72.5	0	352.64	13.62	0	0	0	0	0	2.65	0	0	0	0	0	0	0	0	1.24	0	0	0	0	0	0	714.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.4	9.55	0	136.69	0	0	0	0	0	0	10.33	52.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.79	10.89	0	0	0	0.29	0	0	14.66	0
fbxc-28	7.07	0.23	0	20.96	1.51	0	0	0	0	0	0	0.7	0	0.72	3.25	0	51.08	0	8.59	0	0.43	21.13	0	0	0	0	27.93	0	0	0	0	0	0	6.7	6.36	0	53.45	164.21	61.93	93.3	0	9.09	126.82	1.11	197.57	262.85	448.77	179.71	225.83	216.08	11.83	0	22.77	51	460.12	0	0	141.57	0	0	12.03	33.08	0	240.81	0	37.91	0.8	0	0	0	0	3.64	22.22	28.7	41.14	0	84.34	33.29	46.99	17.75	77.7	57.43	0	0	267.21	495.6	662.15	694.88	865.01	769.2	240.31	905.2	438.03	1600.7	37.62	250.78	292.09	280.73	0.56	4.62	738.27	535.48	155.26	652.3	741.06	175.08	849.94	659.65	511.43	395.81	629.05	812.56	504.64	3.27	0	1.33	365.79	213.21	320.89	435.1	333.79	3.5	3.17	28.95	257.21	837.29	697.49	528.39	134.48	0.95	0	182.5	58.59	240.51	867.64	501.61	1062.96	98.57	78.89	822.24	710.75	0	436.24	66.37	233.56	334.65	192.97	984.66	37.89	552.41	8.6	12.86	1265.84	137.69	114.28	72.77	38.18	632.96	445.61	67.74	1.18	0	269.71	247.67	730.19	131.4	177.91	14.49	21.28	554.45	490.13	428.59	826.67	459.15	599.02	688.01	787.73	1061.09	1507.66	464.48	327.08	383.67	926.89	303.74	618.56	535.6	490.5	1106.21	508.11	42.62	3.71	2.48	77.94	934.44	1213.12	965.33	1.22	651.41	162.36	56.88	79.57	148.12	543.37	105.48	0.37	0	744.94	535.09	644.72	475.81	651.14	271.04	471.6	593.28	955.33	179.51	24.54	28.82	1108.52
fbxc-29	0	2.24	0	0	0	1.17	0	0	0.79	0	0	0	10.67	0	0.29	0	69.59	0.19	0	0	0	0	0	0	23.6	0	52.51	0	0	0	0	0	0	0	20.24	0	0	0	0	1.47	6.72	0	53.93	0	0	0	0	0	0	56.64	0	0	0	0.46	0	135.4	0	0	0	0	0	0	0	0	0	0	0	0	334.84	0	0	0	3.94	0	0	0	0	0	0	0	0	0	0	0	203.95	0	9.92	44.12	0	56.01	0	0.65	368.66	0	0	0	156.85	0	0	0	0	0	0	33.97	0	0	0	0.53	293.93	0	0	98.87	5.51	0	0	0	20.09	0	0	41.53	0.47	155.41	27.7	0	181.22	0	7.02	0	0	0	0.6	0	0	0	0	0	0	0	30.99	0	0	0	0	81.55	0	0	0	15.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.13	0	0	0.45	246.61	0	0	0	0	144.34	344.62	0.46	0	476.22	0.49	0	0	0	0	0.8	50.77	0	26.74	0	0	21.92	0	0	0	0	2.21	0	0	0	172.18	0.48	484.56	0	0	0.75	0	646.76	0	0	339.49	2.49	122.6	1.25	0	1.8	415	1.81	475.5	10.15	8.33	0	103.97
