AB	ABa	ABal	ABalx	ABar	ABarx	ABp	ABpl	ABplx	ABpr	ABprx	C	Cx1	Cx2	D	E	EMS	Ea	Ep	MS	MSx1	MSx2	P0	P1	P2	P3	P4
F47B7.1	0.472	0.396	0	25.888	0.586	2.41583333333333	0	3.86	0	26.312	0	0	0.74	12.54	0	4.972	0	5.9325	17.405	0	0.442	0.11	0.356	0	0	0	1.63833333333333
F47B7.11	0	0	0	2.273	0	0	0	0	0	1.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F47B7.2	37.274	29.35	30.684	65.121	27.676	59.3708333333333	93.834	69.034	45.9090909090909	7.57	49.2633333333333	44.864	33.666	40.0966666666667	34.3483333333333	30.766	22.598	53.035	95.12	11.852	53.572	76.68	28.912	29.776	31.434	41.262	7.08833333333333
F47B7.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2	0	0	0	0	0	0	0	0	0
F47B7.7	0	0	2.734	3.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F47B8.10	0	0	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	4.588	0	0	0	0	0	0	0	0	0	0
F47B8.2	0	24.576	0	0	0	0	7.106	0	6.56272727272727	0	0	0	0	0	0	0	0.626	0	0	16.672	0	0	9.376	0	0	0	0
F47B8.3	0	2.904	0	25.133	1.158	0	12.31	3.642	0	0	0	0.818	0	83.66	0	0	4.632	0	0	0	0.144	0	5.768	1.142	5.232	0	0
F47C12.6	0	0	0	0	0	0	0	20.112	0	0	0	0.218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F47C8.5	0	0	0	0	0	6.61166666666667	0	0	0	0	9.81666666666667	0.748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F47D12.3	0.484	3.05	1.326	0	0.86	10.1883333333333	2.77	0.84	0	0.616	0	3.29	0	32.5	2.16333333333333	0.228	1.118	0	0	6.644	0	0	5.094	1.632	1.652	3.392	0.691666666666667
F47D12.5	0.702	0.598	14.686	60.133	1.406	30.6191666666667	0	0.79	39.3472727272727	0	33.42	11.076	24.868	18.5666666666667	0	65.046	38.88	41.0725	0.0883333333333333	0	10.946	0.957142857142857	17.184	1.24	0.564	0	0.126666666666667
F47D12.6	4.68	1.626	0	2.9	0	1.90166666666667	0	7.256	0	0	0	0	0	0	0	0	0.274	0	4.7	0	0	0	3.408	0.374	1.49	0	0
F47D12.9	292.584	386.08	147.26	11.046	239.642	14.145	342.856	184.942	0.530909090909091	257.308	0.0716666666666667	189.168	0.052	2.745	171.221666666667	77.508	288.42	5.9475	0.2	176.85	0	0	274.34	245.816	313.496	217.112	209.365
F47G3.3	58.824	30.568	8.926	24.253	7.974	12.9633333333333	22.276	53.982	54.6681818181818	0	23.4233333333333	0.218	81.134	15.7433333333333	288.136666666667	1.524	34.668	5.5275	14.8316666666667	0	26.578	25.6528571428571	78.944	46.632	70.224	112.644	105.085
F47G4.2	42.968	24.67	72.634	74.326	18.96	25.955	53.316	8.886	70.5654545454545	24.916	9.09333333333333	15.136	83.478	58.0633333333333	1.00333333333333	71.326	57.34	19.94	6.97333333333333	137.164	312.626	120.98	24.798	33.646	40.63	115.13	135.826666666667
F47G4.4	8.766	18.914	0.07	9.98	18.654	16.2158333333333	10.32	4.648	1.96090909090909	16.03	38.8325	2.064	16.576	12.65	0.668333333333333	2.57	20.216	6.515	19.215	7.704	0.066	0.241428571428571	5.856	26.128	12.524	25.088	13.1133333333333
F47G4.9	0	0	4.928	20.981	0	13.9741666666667	0	4.222	47.4509090909091	7.492	118.65	23.062	0	22.6266666666667	0	19.832	0	0	4.99333333333333	25.958	1.718	9.04285714285714	6.692	0	0	0	0
F47G6.3	0	0	0	0	0	0	0	0	0	0	0	0	7.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F47G9.1	276.788	396.678	391.03	236.392	392.758	358.718333333333	407.492	313.498	309.148181818182	182.958	476.084166666667	428.65	152.296	802.536666666667	124.055	312.138	278.826	265.725	316.578333333333	750.838	281.448	336.937142857143	472.1	342.106	336.202	157.526	217.986666666667
F47H4.12	0	0	0.33	0	0.022	0	0	0	0.08	0	0	0	0	0.02	0	0	0	0	0.126666666666667	0	0.03	7.88	0	0	0	0	0
F47H4.2	0	0.04	0	0.78	5.23	1.82083333333333	0.216	0	5.39727272727273	10.444	0	0	0	0	0	0	0	0.0675	0.143333333333333	1.582	0	0.164285714285714	0	0	0	0	0
F48A11.4	205.112	213.434	132.988	8.616	152.598	1.61666666666667	250.15	113.096	21.8845454545455	158.964	34.3608333333333	222.898	5.908	9.71666666666667	179.328333333333	23.654	153.358	53.11	2.015	174.946	1.062	0.527142857142857	186.168	150.69	213.18	204.98	206.193333333333
F48A11.7	0	0	0	0	43.898	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F48A9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.184	0	0	0	0	0	0
F48A9.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5383333333333	0	0	0	0	0	0	0	0
F48B9.8	34.688	32.148	0	11.271	0	6.935	27.378	0	19.46	10.476	2.50416666666667	34.068	8.354	1.81333333333333	0	11.466	18.2	4.0675	3.425	99.758	0.314	43.2828571428571	56.98	41.748	32.99	30.798	43.8883333333333
F48C1.3	0	0	0	0	0	9.33166666666667	0	0	0.568181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F48C1.5	53.236	83.026	34.158	25.495	37.004	8.175	66.008	102.618	11.7072727272727	48.48	2.1975	120.364	3.514	7.84166666666667	45.075	64.942	93.442	0	1.17	115.63	2.534	0	110.252	53.294	111.616	129.96	45.4283333333333
F48C1.6	42.686	22.924	1.656	20.784	132.246	8.48583333333333	22.324	0	0.0663636363636364	0.104	0	5.918	30.928	1.975	9.15166666666667	0	44.648	0	0	0	0	0	34.382	26.246	77.206	42.63	23.9366666666667
F48C11.6	0	0	0	0	15.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F48C5.1	0	0	0	27.549	18.742	28.1533333333333	0.168	0.372	12.6463636363636	0	20.665	0.75	0.236	20.18	1.90333333333333	0.988	0	23.615	3.79	26.696	6.354	32.4671428571429	0	0	0	0	0
F48D6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.79	0	0	0	0	0
F48E3.3	33.73	49.2	48.482	91.519	40.748	64.2716666666667	32.57	54.604	72.7554545454545	68.344	45.8575	59.028	22.204	36.81	16.6416666666667	54.928	34.754	34.6625	60.1566666666667	38.946	23.066	64.5328571428571	39.35	19.872	33.662	14.262	8.91166666666667
F48E3.4	0	0	0	0	0	2.20916666666667	0	0	0	0	0	0	0	0	0	0	0	0.14	4.395	0	0	0	0	0	0.25	0	0
F48E3.6	2.062	11.466	21.344	32.134	8.882	23.3325	0.582	0	51.3318181818182	0.856	42.9891666666667	21.896	21.42	0	0.293333333333333	6.908	2.842	145.52	367.013333333333	0	50.034	18.3728571428571	29.722	11.146	0.868	3.986	56.385
F48E3.8	0	0	0.032	0	0	0.005	0	0	0	0	0	0	10.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F48E8.2	37.1	75.27	50.312	33.475	73.984	4.59	60.914	52.84	7.14636363636364	20.774	13.3916666666667	46.09	21.24	119.57	92.135	39.776	18.088	2.2425	0.641666666666667	57.074	41.306	19.1657142857143	57.688	43.29	61.608	128.062	1.35333333333333
F48E8.3	97.094	91.336	94.404	71.027	75.348	89.9225	85.252	99.396	61.7709090909091	26.772	141.44	81.554	17.454	52.9516666666667	0.34	85.372	64.776	2.265	78.695	140.728	31.544	79.19	68.142	87.816	138.184	68.588	49.265
F48E8.4	8.97	6.128	20.646	1.956	0.07	0.103333333333333	5.216	27.418	0.0918181818181818	0.172	3.35833333333333	0.366	25.922	0.0833333333333333	0	6.594	11.714	0	0.995	0.582	0	0	1.488	7.162	1.63	18.564	0
F48E8.6	65.72	95.424	1.07	8.838	5.118	2.01083333333333	76.938	19.604	0.0209090909090909	1.382	0.0216666666666667	19.964	0	0.0366666666666667	7.29166666666667	12.658	39.328	0	3.79666666666667	0.134	17.672	2.29571428571429	69.514	54.964	52.146	22.142	14.025
F48E8.8	2.534	0	0	13.278	5.066	0	0.728	11.786	0	47.826	0	0	33.122	0	0	0	0	0	0	0	0	0	5.058	0.336	0	0	0
F48F5.2	0	0	0.024	28.111	0.16	27.1258333333333	0	7.94	0.0536363636363636	0.16	0.02	0.062	2.682	0	0	1.12	0	0.035	0.771666666666667	0.142	0	0.375714285714286	0	0	0	0	0
F48F5.6	0	0	0	0	0	0	0	0	0	0	0	39.442	0	0	0	13.14	0	0	0	0	0	0	0	0	0	0.538	0
F48F7.5	5.79	0	0	0.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F48F7.6	61.604	120.974	117.312	100.294	183.51	166.308333333333	70.692	148.57	81.1318181818182	104.428	179.140833333333	86.046	88.732	136.886666666667	24.975	85.48	68.128	48.7325	314.926666666667	85.666	23.57	82.4557142857143	83.36	82.692	106.688	96.568	48.4516666666667
F48G7.10	0	0	0	0	0	1.45583333333333	0	12.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F48G7.4	14.626	11.64	0.634	4.836	0	0	0.594	0	0	0	0	30.412	0	0	0	0	0	0	0	0	0	0	10.69	0.332	0	0	0
F49A5.10	0	0	0	0	0	2.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F49B2.4	0	0	0	0	0	0	0	0	32.3390909090909	0	0	0	0	0	0	0	0	0	0	0	0.672	0	0	0	0	0	0
F49B2.6	0	0.284	3.06	1.699	0	15.7241666666667	0.594	12.636	1.13363636363636	0	6.65333333333333	0	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0	0
F49B2.7	0.288	0	0.304	104.02	46.984	74.1875	0	0.138	30.67	0	63.7158333333333	0	43.112	0	0	0	0	1.075	0.51	2.232	0.74	14.8442857142857	0	0	0	0	0
F49C12.10	7.568	1.428	16.066	11.183	15.63	10.3	14.11	6.538	1.50545454545455	10.316	4.0725	9.596	7.016	5.01333333333333	0	0.518	3.126	0	1.13666666666667	1.81	11.838	2.77142857142857	18.67	0.978	2.01	0.73	0
F49C12.11	320.024	446.96	570.154	657.81	648.864	522.635833333333	405.244	486.526	639.204545454545	625.41	720.3825	559.394	269.672	1181.675	945.233333333333	537.276	327.164	455.815	981.005	479.37	818.856	1101.05857142857	428.18	363.934	287.348	536.62	546.243333333333
F49C12.12	89.942	97.098	103.31	56.967	53.134	53.5041666666667	71.448	57.272	28.2790909090909	73.186	31.3341666666667	144.6	31.038	194.073333333333	116.576666666667	112.486	101.358	391.605	271.785	12.218	51.556	129.484285714286	137.746	92.884	114.278	213.78	140.263333333333
F49C12.9	484.894	174.036	42.914	192.442	98.226	287.310833333333	293.524	237.772	180.256363636364	144.77	213.524166666667	350.396	133.874	14.795	958.59	216.546	437.126	114.6875	136.64	4.32	311.374	234.527142857143	386.18	602.228	507.69	541.57	359.77
F49C5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.635	0	0	0	0	0	0	0	0	0
F49C5.12	0	0	0	14.418	0	0	0	0	0	0	0	0	0	0	0	51.156	0	0	0	0	0	0	0	0	0	0	0
F49C5.7	0	0	0	3.705	0	0	0	0	0	0	0	0	0	0	0	1.95	0	0	0	0	0	0	0	0	0	0	0
F49D11.10	32.006	6.332	1.446	12.475	2.386	22.6966666666667	0.586	26.764	16.8972727272727	0.228	3.52083333333333	0.534	33.906	15.1983333333333	0.336666666666667	0	29.728	1.855	0	2.464	8.29	2.64	25.908	20.022	22.378	44.826	12.4516666666667
F49D11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.694	0	0	0
F49D11.6	0	0	0	0	0	0	0	3.844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F49E10.2	0	0	0	0	0	3.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F49E10.4	0	0	0.074	0	0.054	0	0	0	0	0	6.83166666666667	0	0	0	0	134.496	0	0	0	0.34	0	0	0.076	0	0	0.138	0
F49E11.2	2.122	0	0	0.102	0	0.764166666666667	0	1.144	0	0	0.609166666666667	0	0	0	0	0	0	0	0.111666666666667	0	0	0.914285714285714	8.386	6.49	0.14	0	51.6533333333333
F49E12.6	23.266	58.248	6.678	0	1.504	5.93583333333333	13.236	0	0.674545454545455	0.042	4.65916666666667	0.286	14.254	0	0	0.868	7.274	0	5.925	0	8.312	1.91857142857143	15.304	13.624	8.302	128.274	10.8766666666667
F49E7.2	0	0	0	0	76.23	17.6658333333333	13.612	1.56	0.0545454545454545	44.168	0	3.166	38.344	60.5916666666667	0	0	0	0	109.471666666667	0	43.594	0	0	0	0	0	0
F49E8.1	126.048	135.004	119.134	123.885	160.234	71.2741666666667	90.564	117.99	92.3827272727273	120.32	94.2583333333333	77.5	91.966	40.755	130.181666666667	66.364	106.58	4.0325	20.9016666666667	142.862	57.302	54.3242857142857	121.366	105.244	107.986	46.882	93.4933333333333
F49E8.2	583.182	584.754	462.482	268.428	367.02	241.6775	530.814	543.73	283.18	625.3	216.79	539.058	340.054	566.603333333333	456.831666666667	597.222	581.418	119.285	88.065	649.292	81.542	45.19	418.114	536.986	586.09	437.556	938.891666666667
F49E8.6	48.58	37.012	1.284	0	0	0.350833333333333	0.608	0.536	7.04909090909091	30.18	21.4258333333333	35.03	0	0	0	11.038	0	0.2925	0	0	0	0	34.894	19.168	55.082	16.742	0
F49E8.7	426.11	306.93	106.898	59.912	217.856	208.525833333333	325.504	200.094	119.875454545455	198.296	48.3725	267.458	297.296	69.4616666666667	20.7683333333333	200.618	362.006	5.03	0.961666666666667	117.35	68.826	135.384285714286	210.956	416.156	399.546	324.618	216.393333333333
F49F1.12	0	0	0	0	0	0	0	0	0	5.27	0	0	0	0	0	0	0	0	0	0	46.58	0	0	0	0	0	0
F49F1.7	0	0	0	46.198	0	17.3758333333333	0	0	0.486363636363636	0	4.88	0	0	0	0	3.112	0	0	0	0	0	0	0	0	0	0	0
F49F1.8	0	0	0	0	0	12.2508333333333	0	10.592	5.66181818181818	0	21.6741666666667	0	0	0	0	0	0.06	0	0	0	0	12.3814285714286	0	0	0	0.062	0
F49H12.4	0	0	0	0	0	0	0	0	0	0	0	6.654	0	0	0	0	0.332	0	0	0	0	0	0	0	0	0	0
F49H12.5	17.6	3.076	8.736	8.618	14.138	22.645	7.63	0	21.4554545454545	0	0.0608333333333333	2.732	36.662	218.048333333333	30.3	3.162	5.31	10.23	6.60666666666667	8.628	29.316	86.3914285714286	23.526	13.242	5.12	59.822	3.57
F49H6.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.3325	0	0	0	0.532857142857143	0	0	0	0	0
F49H6.5	0	9.338	0.06	66.625	0	42.9475	2.682	25.678	77.4881818181818	0	102.679166666667	0	77.988	0	3.51	7.466	0	41.6675	82.0033333333333	20.092	0.112	29.9928571428571	0	0	0	0	0.0683333333333333
F49H6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.944	0	0	0	0	0	0	0
F49H6.8	0	0	0	7.662	0	9.98666666666667	0	0	23.7518181818182	0	22.2625	0	51.894	0	0	0	0	0.785	0	0	0	0	0	0	0	0	0
F52A8.1	365.458	504.698	708.586	851.686	692.786	608.825	533.622	652.864	752.571818181818	578.41	803.663333333333	726.634	266.92	402.236666666667	132.356666666667	764.472	468.216	305.27	772.31	982.124	602.244	1704.81857142857	571.136	255.086	417.194	278.874	623.856666666667
F52A8.5	302.578	298.19	353.584	20.932	193.706	80.39	319.838	323.532	115.294545454545	342.742	7.85166666666667	67.594	78.726	18.5783333333333	45.6733333333333	91.122	233.348	5.8225	39.9733333333333	190.05	0	0	211.2	248.066	38.982	37.98	2.78166666666667
F52A8.6	480.214	337.228	98.1	0.101	210.064	0.151666666666667	386.018	147.272	0.0563636363636364	218.716	6.005	427.584	139.498	24.5383333333333	154.845	88.964	486.874	0	0.431666666666667	123.35	0.622	0.122857142857143	331.818	512.784	438.988	133.474	670.186666666667
F52B10.10	0	0	0	0	0	0	0	0	3.25636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F52B10.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.176	0	0	0	0	0	0
F52B11.1	118.158	160.788	181.856	135.642	158.668	116.854166666667	167.38	244.022	61.3445454545455	208.596	74.9216666666667	117.716	36.75	46.035	272.615	124.292	141.226	28.3875	72.8033333333333	102.682	6.754	9.79571428571429	109.216	95.704	94.206	86.596	33.0016666666667
F52B11.2	55.724	36.926	19.086	0	27.894	0.179166666666667	74.602	0.068	31.4272727272727	19.236	0.333333333333333	91.72	0.122	6.13	101.833333333333	7.686	40.84	0	45.385	5.796	0	5.86	92.59	82.652	128.278	200.274	118.303333333333
F52B11.5	2.38	0	0.938	3.773	0	5.5675	0	2.164	2.46636363636364	13.28	13.3733333333333	0	0	0.655	47.7166666666667	0	0	0	0	0	0.248	24.9614285714286	10.088	2.506	0.206	0	0.198333333333333
F52B5.2	225.102	264.506	303.096	56.11	278.048	11.315	275.38	369.124	40.4218181818182	276.68	9.115	63.108	52.166	0.401666666666667	0	6.488	166.49	238.4275	15.8966666666667	0.898	0.098	0.0742857142857143	244.222	172.066	47.862	1.112	31.075
F52B5.3	92.57	96.774	132.508	60.614	73.744	36.7783333333333	104.57	99.582	54.7718181818182	56.334	40.485	85.892	38.638	39.5616666666667	27.4783333333333	74.738	93.762	23.4325	21.1933333333333	55.672	19.342	18.9457142857143	69.852	65.326	72.794	26.202	26.3783333333333
F52B5.7	211.814	319.656	218.088	298.776	266.264	189.726666666667	365.078	200.92	315.669090909091	272.098	273.780833333333	431.998	173.888	81.325	70.8883333333333	294.1	389.028	43.0575	273.63	386.056	383.676	95.9428571428572	168.694	231.558	285.376	56.804	21.4766666666667
F52C12.1	52.254	56.062	25.404	42.678	28.308	5.52916666666667	43.82	43.398	11.4763636363636	14.448	21.0008333333333	24.202	22.174	47.925	22.945	0.94	20.638	0.305	0.631666666666667	7.176	5.112	0	23.562	53.006	62.402	51.362	52.1933333333333
F52C12.2	45.608	60.21	9.804	1.56	9.8	0	59.802	33.798	13.7418181818182	6.098	0	38.668	0	0	0.0716666666666667	59.778	38.68	0	10.5666666666667	7.666	0	0	45.688	64.79	32.644	46.436	84.7166666666667
F52C12.3	22.626	1.034	3.204	6.698	6.686	0.0491666666666667	6.108	4.906	1.63636363636364	31.08	0.93	11.906	63.646	6.955	0	21.726	10.566	0	0	0	0	0	24.748	49.87	12.58	32.094	6.74166666666667
F52C12.4	3.332	4.61	12.594	6.537	8.308	3.49083333333333	7.274	3.748	5.63090909090909	16.666	7.70166666666667	6.036	5.856	0.0616666666666667	1.18	2.458	6.374	15.0625	12.6566666666667	0.82	5.83	1.58285714285714	8.038	3.808	4.97	3.094	0.92
F52C12.6	10.92	10.966	57.354	1.159	2.024	4.38666666666667	6.014	31.912	0.857272727272727	4.702	3.34416666666667	1.75	39.578	0.253333333333333	0	11.256	9.308	0.1925	7.98833333333333	30.318	99.158	0.35	9.602	22.176	8.308	0	69.4616666666667
F52C6.12	0	0	0.146	2.469	0	0	0	0	0.675454545454545	0	0.1125	0	0	0	0	0.188	0	0	0	0	0	0	0	0	0.248	0	0
F52C6.2	50.988	27.972	11.688	38.359	25.322	9.91083333333333	29.362	41.322	14.7681818181818	66.04	15.1383333333333	31.514	33.946	44.3433333333333	88.8333333333333	93.214	25.972	4.7325	27.585	79.466	46.702	5.77142857142857	47.874	28.374	19.25	0.186	51.605
F52C6.3	9.274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.47	10.064	15.492	0	0
F52C6.4	0	0	0	2.066	0.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36	0	0	0	0
F52C9.1	11.586	8.966	8.382	10.585	5.652	5.105	21.748	26.87	11.5309090909091	0.232	4.66416666666667	0.856	0.372	0	0	11.794	19.558	0.27	8.60333333333333	3.564	3.856	5.39	4.884	16.302	24.282	10.042	15.995
F52C9.3	32.156	23.322	0.298	8.035	0	0.25	2.124	0	21.5372727272727	0	1.38333333333333	30.87	0	0.125	3.58666666666667	0	2.99	0	53.385	0.068	0	28.45	18.784	18.258	16.562	4.318	0
F52C9.5	0	0	0.216	0	0	0	0	0.06	0	0	0	1.066	0	16.4183333333333	0	0	0	0	0	9.692	0	0	0	0	0	0	0
F52D10.10	0	0	0	0	0	0	0	0	0	0	26.4716666666667	0	0	0	0	0	0	0	0	0	0	0.771428571428571	0	0	0	0	0
F52D10.2	45.314	91.644	80.168	28.654	111.854	6.155	111.104	79.556	90.2	71.996	14.875	22.52	34.88	18.7733333333333	0.286666666666667	53.004	54.516	1.585	30.7466666666667	77.174	177.454	52.9985714285714	78.208	39.514	73.33	13.786	46.8133333333333
F52D10.6	4.1	7.168	0	9.491	0	0	0.256	0	0	0	0	2.606	0	0	0	4.556	0	0	0	0.096	0	0	0.698	27.814	5.888	0	0
F52D10.8	0	0	0	0	0	13.5733333333333	0	0	0	0	42.3516666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F52D2.5	0	0	2.172	0	15.87	0	0	0	30.5881818181818	0	0	0	0	0	0	0	0	0	0	0	0	25.0528571428571	0	0	0	0	0
F52D2.6	0.268	0	0	10.225	3.326	5.38833333333333	0	7.132	16.6272727272727	7.6	10.5941666666667	0	0.574	0	0	0	0	0.1025	0	0	13.83	0	0	0	0	0	0
F52D2.7	80.632	65.08	96.246	52.2	21.89	23.6458333333333	67.686	96.014	15.8654545454545	4.382	7.45083333333333	1.424	16.23	2.29666666666667	1.29166666666667	0.128	76.826	0	0.09	31.92	3.574	32.5814285714286	64.656	28.816	110.274	83.74	37.3016666666667
F52D4.1	1.806	0.618	0	2.758	6.494	5.13916666666667	0.75	4.824	6.85727272727273	1.78	14.0008333333333	5.456	0	0	0	1.552	1.434	1.45	3.39166666666667	0	12.642	66.5785714285714	2.462	0	1.604	0	5.385
F52E1.13	338.338	347.824	282.392	208.142	210.65	230.554166666667	344.538	280.066	161.175454545455	269.888	144.755	216.256	234.428	126.915	218.798333333333	214.222	268.372	140.04	59.9983333333333	334.77	86.022	146.937142857143	224.28	305.95	341.584	244.748	207.491666666667
F52E1.9	5.506	0	0	0	0	0	0	0	0	4.68	9.73333333333333	0	0	0.2	0	0	4.384	0	15.7416666666667	0	0	13.2157142857143	0.422	5.238	0	0.126	0.07
F52E10.6	0	2.73	0	0	0	0	0	0	7.62181818181818	0	0	14.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F52E4.5	8.476	7.812	0	6.647	25.118	6.83333333333333	4.894	9.156	43.4454545454545	9.552	26.3941666666667	0.38	31.634	0	0	0	12.048	0	0	0	45.744	0.412857142857143	22.34	3.812	0	0.122	0
F52F10.2	0	0	0	0.596	0	0	0	1.602	2.15181818181818	0	5.5025	0	0	0	0	22.166	0	0	0	0.054	0	0	0	0	0	0	0
F52F12.11	0	0	0	0	11.648	0	0	0	1.47454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F52F12.5	0	0	29.86	24.362	0	0	0	0	0	30.674	0	0	0.538	0	0	0	10.282	38.8675	0	0.462	0	0	0	0	0	0	0
F52F12.7	1.672	0	0	6.318	0.06	0	0	0	0	18.104	0.0308333333333333	14.656	0.164	3.115	0	0.08	0	0	0	0	0	0.48	22.958	1.778	17.962	0	44.3266666666667
F52F12.8	0	0	0	0	0	0	0	0	0	0	1.58166666666667	0	0	0	0	0	0	0	0	0	0	0	0	13.458	0	0	0
F52G3.1	16.376	9.632	13.592	9.988	3.87	6.6275	10.938	66.32	25.8490909090909	18.048	42.9791666666667	15.176	21.77	12.13	0.955	12.616	15.786	21.7125	3.725	7.498	2.05	45.1471428571429	6.64	13.934	11.632	9.136	1.75166666666667
F52G3.3	0	0	0	2.867	0	0.515	0	0	0	0	0	0.684	6.818	0	0	0.09	3.214	0	0	0	0	23.3928571428571	0	0	0	0	0
F52G3.4	0.724	2.606	15.04	33.672	25.872	43.43	1.932	18.844	36.4209090909091	18.682	22.08	17.56	26.726	104.01	0.73	27.154	12.48	3.51	22.405	14.136	38.174	24.6285714285714	2.016	0.526	0.978	0.042	42.59
F52G3.5	1.676	19.778	10.174	31.668	13.942	27.7	3.446	0.29	5.92181818181818	57.9	42.9	0	11.994	0	1.65166666666667	1.958	4.324	0.36	7.755	12.172	2.566	65.05	2.058	0	0.32	0.116	25.3266666666667
F52H2.1	5.75	0.036	0	0	0	0.115833333333333	2.66	0.052	0	0	0	53.78	0	0	0	0	9.062	0	0	0	0	0	8.172	6.874	12.082	2.698	0.838333333333333
F52H2.13	0	0	0	2.32	0	2.32916666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F52H2.4	0.17	0	0	13.693	0	0.0758333333333333	0	12.726	0	0	0	0	46.006	0	0	0	0	0	0	0	0	0	6.238	0	0	0	0
F52H2.5	45.43	89.044	24.098	9.35	95.62	1.46583333333333	130.682	59.29	33.7690909090909	105.196	43.2716666666667	148.05	13.92	102.223333333333	105.696666666667	0	38.286	19.98	326.585	16.206	0	20.8342857142857	69.578	64.64	76.226	11.404	57.61
F52H2.7	13.254	18.624	6.332	25.245	2.054	4.2125	10.708	3.606	9.19272727272727	4.804	8.08416666666667	51.176	0	1.175	12.5466666666667	8.82	10.25	0.055	0.261666666666667	24.846	0.804	1.04	16.696	8.92	1.594	9.48	28.7883333333333
F52H3.2	75.392	42.55	0.266	1.012	9.832	2.65333333333333	40.572	28.156	0	6.152	0	56.118	0.178	0.131666666666667	0.191666666666667	0.922	14.234	14.765	0	0.11	0.058	4.54714285714286	63.958	86.626	82.028	16.03	56.4783333333333
F52H3.4	95.092	33.812	0	0	9.354	0	30.888	0.088	1.12090909090909	2.71	0	35.69	0	0	209.781666666667	0.082	46.636	0	8.07833333333333	0.15	0	0	119.642	100.88	87.192	93.28	99.0166666666667
F52H3.5	0.614	0.564	0	0	0	0	0.194	0.328	0	0	0	1.948	0	0.408333333333333	0	0.85	0.984	38.4525	206.188333333333	0	11.74	0	0.614	2.084	0.502	0	3.13
F52H3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.005	38.7783333333333	0	0	0	0	0	0	0	0
F53A10.2	14.562	12.888	15.138	2.451	11.078	3.76166666666667	10.668	37.544	1.71363636363636	1.842	3.225	12.804	0.25	0.891666666666667	0.216666666666667	51.092	18.598	0.3325	4.77333333333333	1.326	0	0.107142857142857	7.516	3.034	6.744	14.042	2.97166666666667
F53A2.3	22.224	11.562	14.796	15.319	52.112	42.385	67.288	27.716	37.2372727272727	28.882	27.8325	26.62	0.77	17.8983333333333	0	0.29	6.562	24.83	81.7983333333333	4.754	13.668	15.6828571428571	17.618	3.27	20.738	48.558	0.608333333333333
F53A2.7	128.662	220.15	244.248	301.221	287.782	321.0575	160.61	205.604	262.938181818182	197.078	227.648333333333	133.17	107.166	40.6533333333333	49.255	176.496	188.776	23.8775	220.395	248.82	304.582	356.91	131.756	159.158	124.598	91.716	142.285
F53A3.1	11.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.038	0	0	0	0	0	6.23	0	0	0	0
