AB	ABa	ABal	ABalx	ABar	ABarx	ABp	ABpl	ABplx	ABpr	ABprx	C	Cx1	Cx2	D	E	EMS	Ea	Ep	MS	MSx1	MSx2	P0	P1	P2	P3	P4
B0035.1	176.908	252.644	323.432	197.688	263.634	241.181666666667	198.256	238.75	263.23	276.542	164.29	149.99	177.604	243.516666666667	155.12	202.842	270.224	76.865	146.21	114.968	397.228	212.747142857143	205.896	188.75	195.38	251.668	156.975
B0035.11	167.734	222.672	273.034	125.359	308.648	127.8775	221.26	310.7	69.1027272727273	388.99	69.0275	207.524	197.716	85.5216666666667	41.185	214.886	194.762	62.0725	174.963333333333	140.974	45.75	73.7485714285714	186.114	160.236	163.816	377.352	143.93
B0035.12	58.806	62.256	11.732	13.13	8.64	23.7108333333333	49.358	31.076	6.77545454545455	21.982	2.08916666666667	22.39	2.048	0.0683333333333333	26.3816666666667	9.596	89.43	27.995	11.9516666666667	1.42	0	1.19	74.522	114.028	99.072	108.682	154.4
B0035.15	98.778	92.966	4.74	0.965	3.914	0.214166666666667	78.27	50.45	0.465454545454545	1.852	42.1683333333333	109.708	48.768	0	13.4166666666667	10.494	87.676	3.795	0.28	61.694	0	1.80857142857143	153.326	144.644	77.272	170.702	126.521666666667
B0035.16	22.658	33.662	7.046	0.549	3.33	11.7366666666667	15.638	25.91	0	6.484	0.0516666666666667	29.964	0	0.24	115.02	21.28	16.304	0	0	93.228	2.426	19.8442857142857	46.272	27.008	21.258	54.96	12.3066666666667
B0035.18	41.826	63.492	90.792	55.917	122.07	86.6808333333333	70.45	109.506	90.3954545454546	116.652	95.6383333333333	70.51	47.792	48.52	115.535	181.75	30.022	83.6175	98.55	92.608	1.208	163.02	102.556	93.86	67.864	200.13	105.578333333333
B0035.19	0	0	0	0	0	0	0	0	8.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0035.3	475.658	416.736	138.424	14.375	154.13	9.72583333333333	365.942	66.726	10.6527272727273	142.232	33.275	230.46	2.026	0.123333333333333	398.215	249.512	500.814	3.0525	16.6616666666667	79.084	0.264	6.83142857142857	506.012	461.72	468.87	420.724	539.288333333333
B0035.6	189.198	221.856	184.168	132.305	150.392	51.8308333333333	278.53	212.68	140.500909090909	319.528	139.3	193.554	191.166	226.85	84.465	189.992	191.928	11.53	41.6716666666667	284.538	1.416	136.53	139.216	220.772	171.982	232.744	279.646666666667
B0041.1	0	0	25.746	0	0	15.1891666666667	0	0.092	0.139090909090909	0.136	17.8191666666667	0	0	0	0	0	0	4.99	0	29.906	0	0	0	0	0	0	0
