".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"chs_1_mRNA_total_molecules","2-cell_N2","2-cell_DG5972",24,23,5.14466466208788,2.67999096566345e-07,1.60799457939807e-06,"****"
"chs_1_mRNA_total_molecules","2-cell_N2","4-cell_N2",24,9,-1.90186593036786,0.0571886842416417,0.34313210544985,"ns"
"chs_1_mRNA_total_molecules","2-cell_N2","4-cell_DG5972",24,9,1.04489867320606,0.296069803079294,1,"ns"
"chs_1_mRNA_total_molecules","2-cell_DG5972","4-cell_N2",23,9,-5.70878360182735,1.13786452267427e-08,6.82718713604561e-08,"****"
"chs_1_mRNA_total_molecules","2-cell_DG5972","4-cell_DG5972",23,9,-2.7793360802522,0.00544701371089529,0.0326820822653718,"*"
"chs_1_mRNA_total_molecules","4-cell_N2","4-cell_DG5972",9,9,2.44332813388877,0.0145524991018679,0.0873149946112076,"ns"
