"Term","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"subdirectory",3,500049430.014526,166683143.338176,14.8028757460992,5.03687799696954e-07
"Residuals   ",50,563009330.744733,11260186.6148947,NA,NA
