"Comparison","diff","lwr","upr","p adj"
"2-cell_DG5965_bright-2-cell_DG5919",1659.41111111111,-1920.09369691057,5238.91591913279,0.609752574859995
"4-cell_DG5919-2-cell_DG5919",-5878.62857142858,-8986.19661348451,-2771.06052937264,3.92413853316231e-05
"4-cell_DG5965_bright-2-cell_DG5919",-4894.24545454545,-8241.81578625488,-1546.67512283603,0.00166383818708959
"4-cell_DG5919-2-cell_DG5965_bright",-7538.03968253969,-11348.1613944221,-3727.91797065731,1.76959230094864e-05
"4-cell_DG5965_bright-2-cell_DG5965_bright",-6553.65656565657,-10561.9324355402,-2545.38069577295,0.000386244383976719
"4-cell_DG5965_bright-4-cell_DG5919",984.38311688312,-2608.72137845908,4577.48761222533,0.885384279866648
