"SYMBOL","ENTREZID"
"dcaf-1","177804"
"C39B10.7","13222514"
"T07A9.14","4363068"
"syx-7","172718"
"marc-6","172986"
"B0353.1","175209"
"mma-1","179724"
"Y17G7B.12","174842"
"gck-2","179072"
"C35B1.2","177169"
"cnep-1","185802"
"sam-4","173955"
"F49D11.10","6418594"
"C10A4.3","182484"
"smu-1","173175"
"isw-1","175944"
"sas-7","176445"
"mog-4","175117"
"dpff-1","175832"
"F53B3.5","180578"
"eor-2","181557"
"vps-15","174827"
"blos-8","187532"
"C50D2.7","173393"
"syx-16","175712"
"T02E9.5","179568"
"nhr-10","175993"
"rsa-2","176536"
"spd-5","172155"
"mrpl-13","172479"
"C47E8.4","179970"
"lid-1","172888"
"rap-2","180011"
"cpsf-2","179103"
"algn-9","174633"
"ent-6","172749"
"ftn-2","171934"
"T25B9.8","177969"
"usp-5","172296"
"ife-4","180464"
"tra-4","180575"
"hmp-2","173338"
"hil-7","177433"
"pro-1","174622"
"pgph-3","178964"
"dve-1","180398"
"gck-4","181488"
"T23G11.11","7040138"
"wdr-20","179410"
"F40F11.3","185547"
"K11H12.8","176892"
"ndc-80","177873"
"aqp-2","174467"
"Y66D12A.10","176587"
"bub-1","172468"
"cct-8","176928"
"xrn-2","175071"
"npp-2","172611"
"soap-1","179109"
"R07E5.7","175577"
"eif-2Bdelta","179331"
"prp-31","172146"
"dnj-10","176211"
"mes-3","172123"
"lst-6","174146"
"tsfm-1","179683"
"aka-1","174216"
"attf-4","175858"
"cdt-1","171896"
"C56A3.5","183857"
"F15G9.1","181184"
"T18D3.1","181402"
"pcn-1","177161"
"yars-2","177237"
"hrpl-1","3565706"
"F44E2.7","176245"
"cyp-29A2","179550"
"rha-1","174417"
"micu-1","178287"
"gta-1","177897"
"hmg-5","177543"
"rhi-1","180721"
"rpt-2","178988"
"gcna-1","175850"
"set-26","178463"
"ptrn-1","181743"
"ooc-5","174433"
"ZK470.2","180689"
"aly-2","177738"
"madd-3","3565068"
"ran-2","176115"
"Y41E3.7","178416"
"cec-4","177536"
"coel-1","180700"
"F35G12.7","185322"
"inso-1","180473"
"C47G2.4","174724"
"ztf-8","175726"
"Y39A1A.21","176493"
"emb-30","176322"
"thk-1","177913"
"F40F4.7","180614"
"rft-2","178842"
"Y48E1C.4","174984"
"Y39A1A.3","176479"
"hsp-70","172757"
"sumv-2","24104625"
"F33D11.10","172258"
"F40B5.2","181090"
"ceeh-1","175239"
"moma-1","175243"
"ced-7","176352"
"gst-42","183911"
"Y47H9C.8","173068"
"tag-340","175655"
"F54C9.3","174369"
"tag-96","171755"
"hpo-11","186807"
"cyk-4","176815"
"aph-2","172905"
"efa-6","178217"
"gba-3","178535"
"sacy-1","172413"
"hid-1","180553"
"rga-1","174751"
"Y45G12B.2","178734"
"tut-2","179483"
"lin-15B","181662"
"mys-1","179096"
"lsy-22","172536"
"Y49A10A.2","4927063"
"rad-50","179678"
"cas-1","181729"
"tpst-1","176684"
"dnj-9","3565947"
"cogc-4","173518"
"ags-3","180801"
"M02B1.3","178236"
"M02D8.3","181120"
"spas-1","179300"
"prp-21","173440"
"grld-1","176827"
"T13H5.8","174362"
"unc-85","173809"
"tag-353","172916"
"mdt-4","173852"
"rde-4","176438"
"pdzd-8","177716"
"ubxn-2","177057"
"ehbp-1","179343"
"rnf-5","175532"
"H05C05.2","175407"
"taf-3","181704"
"csn-4","176927"
"F26A1.1","175642"
"dhs-29","181027"
"ints-4","173238"
"mrpl-39","3565110"
"nhr-66","177618"
"ciao-2B","185814"
"C32D5.11","174052"
"gon-14","179052"
"F23A7.8","3896896"
"Y37A1A.4","4927018"
"B0261.8","3564966"
"gid-7","178791"
"gld-4","172735"
"ntl-11","178432"
"xpc-1","177002"
"cyp-35A5","178802"
"sma-6","174044"
"fli-1","176215"
"F26F12.3","178972"
"Y119D3B.12","175285"
"tns-1","172215"
"cox-14","259528"
"Y38C1AA.1","176836"
"eif-2A","174606"
"Y82E9BR.14","175298"
"mrps-15","187087"
"dpy-28","176509"
"cand-1","180125"
"npp-3","174823"
"acs-14","179330"
"F08G2.4","175035"
"Y59C2A.2","3565867"
"dnj-23","174451"
"sut-1","173496"
"slc-17.2","176317"
"fmo-5","178596"
"Y75B8A.24","176653"
"npa-1","179095"
"gspd-1","178046"
"acdh-2","173940"
"hsf-1","173078"
"H12D21.10","179990"
"dnj-24","175745"
"nol-6","173520"
"src-1","171722"
"lonp-1","172966"
"rpac-40","178823"
"ikke-1","176278"
"Y110A7A.21","4927052"
"tald-1","177202"
"T11G6.5","177976"
"sptf-3","189783"
"eif-3.H","172044"
"C32D5.8","174048"
"acox-1.1","173162"
"F57C12.2","180406"
"dpm-1","176874"
"rin-1","3565509"
"Y48G10A.1","173220"
"coa-3","173796"
"F09E5.11","184242"
"nhr-68","179589"
"F38A5.2","3565269"
"mrpl-32","176197"
"mrps-16","3565469"
"obr-1","176555"
"ldp-1","178692"
"rig-4","177597"
"W09G3.6","173249"
"F46F11.1","172221"
"gars-1","175703"
"kdp-1","178288"
"cyp-34A9","181851"
"cpr-6","180931"
"idhg-1","175598"
"nhr-64","171884"
"xdh-1","178381"
"hpo-18","178830"
"Y57G11C.22","178409"
"gsa-1","171687"
"acp-5","180849"
"rpia-1","175995"
"gst-5","187537"
"pfn-1","173161"
"nipi-3","181650"
"cgt-3","174001"
"got-1.2","181726"
"nlp-36","176333"
"mrpl-40","175174"
"exos-7","180369"
"F17A9.4","178999"
"C02D5.4","13190517"
