"SYMBOL","ENTREZID"
"dnj-7","180983"
"K12H6.6","173629"
"epn-1","181577"
"C29E4.12","259333"
"F07E5.5","173564"
"arl-8","178405"
"gpd-2","3565504"
"C37H5.5","178874"
"gtbp-1","177880"
"wdr-12","172226"
"wnk-1","177743"
"tads-1","173206"
"pccb-1","180596"
"Y76B12C.3","176999"
"T04D3.5","173201"
"din-1","174782"
"sto-1","181017"
"eif-3.G","174346"
"cwn-2","177870"
"K07F5.15","36805026"
"nduf-9","175429"
"K04C2.2","175960"
"cyb-3","180040"
"rbm-28","175145"
"F44E5.5","174806"
"C16H3.3","181787"
"pbrm-1","172504"
"hmp-1","179624"
"puf-9","180850"
"lin-66","178354"
"ubc-25","172941"
"mrps-24","259579"
"rme-1","179010"
"rpl-41.1","172094"
"rpb-10","171763"
"rnr-2","175525"
"his-1","191667"
"F21C10.10","179290"
"C33D9.6","259585"
"mrg-1","176702"
"sdn-1","181259"
"Y70G10A.4","36805066"
"igcm-3","180569"
"emb-5","175621"
"his-18","179267"
"ttr-50","178092"
"frm-10","179828"
"nmad-1","175765"
"rrp-1","177853"
"clr-1","3565419"
"rbd-1","178229"
"rsp-1","174748"
"pars-1","176024"
"spat-3","259704"
"rpb-4","174208"
"bet-2","181257"
"F54B3.1","174591"
"trm-1","179920"
"C35D10.1","175651"
"C50F4.6","3565041"
"tac-1","175133"
"ifb-2","173973"
"C05A9.2","182243"
"rsp-7","174646"
"ina-1","176296"
"unc-37","172394"
"Y69A2AR.28","177043"
"arx-1","171857"
"snfc-5","175571"
"rpb-5","172412"
"C23F12.4","181167"
"unc-32","176257"
"nduf-6","184827"
"C36A4.10","175494"
"unc-84","181480"
"npp-10","175852"
"Y46G5A.7","174904"
"F56C9.10","176040"
"B0205.8","172976"
"B0395.3","181682"
"polg-1","174860"
"fbxc-51","173467"
"ZK512.4","176293"
"spk-1","176328"
"thoc-2","175900"
"nifk-1","175614"
"cwc-15","180069"
"his-59","186325"
"praf-3","177637"
"erfa-1","179028"
"sna-1","179064"
"sti-1","178587"
"hsp-1","178507"
"his-5","179233"
"imb-3","3565440"
"emc-3","178300"
"tag-151","173812"
"pqn-41","175335"
"F58B3.4","178088"
"pkn-1","181244"
"F13B12.1","177934"
"T12G3.4","178141"
"ruvb-1","179388"
"Y41D4A.4","176983"
"Y55F3AM.13","176925"
"rtfo-1","179345"
"sftb-2","178542"
"elof-1","175090"
"nol-16","191277"
"lido-8","173645"
"F14E5.2","174342"
"ldb-1","181292"
"Y61A9LA.10","178851"
"sap-140","176063"
"enpl-1","178014"
"rbpl-1","172720"
"ppm-1.G","175233"
"hsb-1","178208"
"dpy-21","180176"
"apy-1","181019"
"ceh-100","174894"
"pezo-1","182492"
"Y46H3C.7","3565070"
"qars-1","178415"
"fat-3","177820"
"dhc-1","172041"
"hmr-1","173007"
"ncap-1","173638"
"casc-3","173203"
"eftu-2","175851"
"ceh-20","3565545"
"eif-3.F","174478"
"F48F7.6","181507"
"mig-2","181344"
"teg-4","172406"
"patr-1","174808"
"T26G10.1","176321"
"F55F8.2","172223"
"toe-1","173779"
"noca-1","3565610"
"cest-17","179198"
"F09C8.2","181690"
"scpl-4","179481"
"kars-1","174159"
"T28B8.1","172599"
"tag-153","179312"
"F59C12.3","181718"
"epi-1","177956"
"set-1","175918"
"pat-3","175504"
"pcm-1","178981"
"C06B8.7","246012"
"F44G4.1","174434"
"efl-3","174341"
"top-2","174825"
"R11A5.3","172555"
"pqn-70","179552"
"C07D10.5","174209"
"let-711","175971"
"iglr-2","176175"
"tmem-131","175677"
"ifc-1","178747"
"nep-17","174996"
"smc-3","176559"
"wdr-46","178185"
"his-32","177628"
"klc-2","178942"
"W04C9.4","171636"
"F53H1.4","176944"
"lpd-6","171886"
"tln-1","171736"
"dot-1.1","171797"
"rpt-6","176661"
"ulp-4","174307"
"act-3","179533"
"mdt-9","36805063"
"cav-1","177815"
"Y43F4B.10","176752"
"jmjd-1.2","177232"
"prp-9","174364"
"prp-40","176343"
"let-504","171995"
"lsm-4","174193"
"gsp-1","179486"
"W09G3.8","3565298"
"act-2","179534"
"chd-3","181421"
"cdh-4","175590"
"acs-13","171643"
"pnn-1","179783"
"T07A9.15","6418677"
"skr-21","54162166"
"car-1","173158"
"T10C6.6","180070"
"cdk-7","171784"
"syf-2","176003"
"csn-2","172278"
"rsd-3","181358"
"C30B5.2","174028"
"rbm-39","176922"
"Y111B2A.12","176680"
"pqn-53","179656"
"C17E4.10","172770"
"iars-1","177926"
"mrps-18A","176176"
"spt-5","178143"
"epg-6","189705"
"C08F1.10","173549"
"tba-1","172831"
"npp-21","174232"
"prpf-4","172443"
