Sequence_Name	WormBase_Gene_ID	Public_Name	Other_Name	cluster_set	RBP_assoc
C32B5.15	WBGene00016308	C32B5.15	CELE_C32B5.15	2	NA
C32B5.6	WBGene00016299	C32B5.6	CELE_C32B5.6	1	NA
C32C4.1	WBGene00007862	kvs-2	CELE_C32C4.1	2	NA
C32D5.1	WBGene00016310	txt-18	CELE_C32D5.1	2	NA
C32D5.10	WBGene00016317	C32D5.10	CELE_C32D5.10	3	NA
C32D5.11	WBGene00016318	C32D5.11	CELE_C32D5.11	5	other_RBP
C32D5.12	WBGene00016319	C32D5.12	phi-45,	2	NA
C32D5.3	WBGene00016311	efr-3	CELE_C32D5.3	3	SPN4
C32D5.4	WBGene00016312	C32D5.4	CELE_C32D5.4	2	NA
C32D5.7	WBGene00016315	C32D5.7	CELE_C32D5.7	2	other_RBP
C32D5.8	WBGene00016316	C32D5.8	CELE_C32D5.8	1	other_RBP
C32E8.1	WBGene00016320	C32E8.1	CELE_C32E8.1	2	NA
C32E8.11	WBGene00016326	ubr-1	CELE_C32E8.11	3	NA
C32E8.3	WBGene00016321	tppp-1	CELE_C32E8.3	3	other_RBP
C32E8.4	WBGene00016322	C32E8.4	CELE_C32E8.4	2	NA
C32E8.5	WBGene00016323	pmlr-1	CELE_C32E8.5	1	NA
C32E8.9	WBGene00016325	C32E8.9	CELE_C32E8.9	1	NA
C32F10.8	WBGene00016333	C32F10.8	CELE_C32F10.8	5	SPN4
C33A11.1	WBGene00007877	nfki-1	nbid-1,	2	NA
C33A11.2	WBGene00007878	C33A11.2	CELE_C33A11.2	5	SPN4
C33A11.t1	WBGene00014691	C33A11.t1	CELE_C33A11.T1	2	NA
C33A12.1	WBGene00007880	ndua-5	CELE_C33A12.1	4	NA
C33A12.12	WBGene00007887	gadr-2	CELE_C33A12.12	4	other_RBP
C33A12.19	WBGene00007890	C33A12.19	CELE_C33A12.19	2	NA
C33A12.3	WBGene00007882	C33A12.3	CELE_C33A12.3	3	NA
C33A12.4	WBGene00007883	C33A12.4	CELE_C33A12.4	2	NA
C33A12.7	WBGene00007886	ethe-1	CELE_C33A12.7	3	NA
C33B4.4	WBGene00007892	C33B4.4	CELE_C33B4.4	3	other_RBP
C33C12.10	NA	NA	NA	4	NA
C33C12.4	WBGene00016336	C33C12.4	CELE_C33C12.4	2	NA
C33C12.8	WBGene00016340	gba-2	CELE_C33C12.8	2	NA
C33C12.9	WBGene00016341	mtq-2	CELE_C33C12.9	1	NA
C33D12.2	WBGene00016343	cnnm-3	CELE_C33D12.2	2	NA
C33D9.10	WBGene00044239	C33D9.10	CELE_C33D9.10	2	NA
C33D9.13	WBGene00194651	C33D9.13	CELE_C33D9.13	2	NA
C33D9.3	WBGene00007898	C33D9.3	CELE_C33D9.3	2	NA
C33D9.5	WBGene00007899	C33D9.5	CELE_C33D9.5	2	NA
C33D9.6	WBGene00007900	C33D9.6	CELE_C33D9.6	2	NA
C33D9.8	WBGene00007901	C33D9.8	CELE_C33D9.8	2	NA
C33E10.1	WBGene00016345	C33E10.1	CELE_C33E10.1	4	NA
C33E10.10	WBGene00016350	C33E10.10	CELE_C33E10.10	2	NA
C33E10.3	WBGene00023245	C33E10.3	CELE_C33E10.3	2	NA
C33E10.8	WBGene00016349	C33E10.8	CELE_C33E10.8	1	other_RBP
C33E10.9	WBGene00023248	C33E10.9	CELE_C33E10.9	2	NA
C33F10.14	WBGene00050941	C33F10.14	CELE_C33F10.14	3	other_RBP
C33F10.4	WBGene00016353	C33F10.4	CELE_C33F10.4	3	NA
C33G3.13	WBGene00201628	C33G3.13	CELE_C33G3.13	2	NA
C33G3.4	WBGene00007904	C33G3.4	CELE_C33G3.4	2	NA
C33G3.6	WBGene00007906	C33G3.6	CELE_C33G3.6	1	other_RBP
C33G3.8	WBGene00195937	C33G3.8	CELE_C33G3.8	2	NA
C33H5.13	WBGene00016379	C33H5.13	CELE_C33H5.13	2	NA
C33H5.17	WBGene00016383	zgpa-1	CELE_C33H5.17	3	other_RBP
C33H5.18	WBGene00016384	cdgs-1	CELE_C33H5.18	3	other_RBP
C33H5.8	WBGene00016375	rpap-3	CELE_C33H5.8	3	NA
C34B2.10	WBGene00016395	spcs-1	phi-56,	2	NA
C34B2.11	WBGene00016396	C34B2.11	CELE_C34B2.11	2	NA
C34B2.5	WBGene00016390	ttc-1	CELE_C34B2.5	5	NA
C34B2.6	WBGene00016391	lonp-1	lon,	4	NA
C34B2.8	WBGene00016393	ndua-13	CELE_C34B2.8	1	NA
C34B2.9	WBGene00016394	C34B2.9	CELE_C34B2.9	2	NA
C34B4.2	WBGene00007907	C34B4.2	CELE_C34B4.2	3	SPN4
C34B4.3	WBGene00007908	C34B4.3	CELE_C34B4.3	2	NA
C34B7.1	WBGene00007911	C34B7.1	CELE_C34B7.1	5	other_RBP
C34B7.2	WBGene00007912	figo-1	CELE_C34B7.2	3	NA
C34C12.2	WBGene00007921	C34C12.2	CELE_C34C12.2	1	NA
C34C12.4	WBGene00007923	smim-14	CELE_C34C12.4	1	NA
C34C12.5	WBGene00007924	rsu-1	CELE_C34C12.5	2	other_RBP
C34C12.7	WBGene00007926	C34C12.7	CELE_C34C12.7	2	NA
C34C12.8	WBGene00007927	C34C12.8	CELE_C34C12.8	5	NA
C34C6.2	NA	NA	NA	2	NA
C34C6.4	WBGene00007917	chdh-1	CELE_C34C6.4	5	NA
C34C6.7	WBGene00007919	cup-16	CELE_C34C6.7	2	NA
C34D1.1	WBGene00007929	dmd-10	dmd-11,	2	NA
C34D10.1	WBGene00016406	C34D10.1	CELE_C34D10.1	2	NA
C34D4.10	WBGene00016402	C34D4.10	CELE_C34D4.10	2	other_RBP
C34D4.13	WBGene00016404	mutd-1	CELE_C34D4.13	3	other_RBP
C34D4.4	WBGene00016400	C34D4.4	CELE_C34D4.4	3	other_RBP
C34E10.10	WBGene00016411	C34E10.10	CELE_C34E10.10	2	NA
C34E10.11	WBGene00016412	mrps-26	CELE_C34E10.11	3	NA
C34E10.8	WBGene00016409	sumv-1	CELE_C34E10.8	3	NA
C34E10.9	WBGene00016410	C34E10.9	CELE_C34E10.9	2	NA
C34E11.2	WBGene00007935	C34E11.2	CELE_C34E11.2	2	NA
C34E7.4	WBGene00007934	gmap-1	CELE_C34E7.4	4	NA
C34F11.15	WBGene00199982	C34F11.15	CELE_C34F11.15	2	NA
C34F11.3	WBGene00016415	ampd-1	CELE_C34F11.3	1	NA
C34F6.10	WBGene00007944	C34F6.10	CELE_C34F6.10	2	NA
C34F6.15	WBGene00196455	C34F6.15	CELE_C34F6.15	2	NA
C34F6.5	WBGene00007939	C34F6.5	CELE_C34F6.5	1	NA
C34F6.7	WBGene00007941	C34F6.7	CELE_C34F6.7	2	NA
C34F6.9	WBGene00007943	C34F6.9	CELE_C34F6.9	3	NA
C34G6.1	WBGene00016418	hpo-27	CELE_C34G6.1	2	NA
C34G6.5	WBGene00016421	cdc-7	CELE_C34G6.5	5	NA
C34H4.5	WBGene00016427	C34H4.5	CELE_C34H4.5	3	NA
C35A5.6	WBGene00007950	C35A5.6	CELE_C35A5.6	2	NA
C35A5.8	WBGene00007952	xpo-7	CELE_C35A5.8	4	NA
C35B1.2	WBGene00016432	C35B1.2	CELE_C35B1.2	3	NA
C35B1.5	WBGene00016435	C35B1.5	CELE_C35B1.5	2	NA
C35B1.7	WBGene00016436	C35B1.7	CELE_C35B1.7	2	NA
C35B1.8	WBGene00016437	C35B1.8	C35B1.b,	2	NA
C35B8.3	WBGene00016438	C35B8.3	CELE_C35B8.3	3	NA
C35B8.4	WBGene00044743	crb-3	CELE_C35B8.4	2	NA
C35C5.3	WBGene00007955	selt-1.1	CELE_C35C5.3	4	NA
C35C5.6	WBGene00007956	trpp-9	CELE_C35C5.6	5	NA
C35C5.9	WBGene00007958	C35C5.9	CELE_C35C5.9	2	NA
C35D10.1	WBGene00016439	C35D10.1	CELE_C35D10.1	5	other_RBP
C35D10.10	WBGene00016446	C35D10.10	C35D10.f,	3	other_RBP
C35D10.12	WBGene00016448	C35D10.12	CELE_C35D10.12	2	NA
C35D10.13	WBGene00016449	tost-1	CELE_C35D10.13	4	NA
C35D10.17	WBGene00016452	C35D10.17	CELE_C35D10.17	1	NA
C35D10.18	WBGene00195691	C35D10.18	CELE_C35D10.18	2	NA
C35D10.5	WBGene00016442	C35D10.5	CELE_C35D10.5	5	NA
C35D10.6	WBGene00016443	C35D10.6	CELE_C35D10.6	5	NA
C35D10.7	WBGene00016444	C35D10.7	CELE_C35D10.7	3	NA
C35D10.8	WBGene00016445	C35D10.8	CELE_C35D10.8	2	NA
C35D6.12	WBGene00045040	C35D6.12	CELE_C35D6.12	2	NA
C35D6.13	WBGene00045101	C35D6.13	CELE_C35D6.13	2	NA
C35D6.3	WBGene00007960	C35D6.3	CELE_C35D6.3	4	NA
C35D6.4	WBGene00007961	C35D6.4	CELE_C35D6.4	1	other_RBP
C35D6.5	WBGene00007962	C35D6.5	CELE_C35D6.5	2	NA
C35D6.7	WBGene00014278	C35D6.7	U5-3,	2	NA
C35E7.10	WBGene00016462	C35E7.10	CELE_C35E7.10	2	NA
C35E7.11	WBGene00016463	C35E7.11	CELE_C35E7.11	4	NA
C35E7.2	WBGene00016454	C35E7.2	CELE_C35E7.2	2	NA
C35E7.3	WBGene00016455	C35E7.3	CELE_C35E7.3	4	NA
C35E7.4	WBGene00016456	C35E7.4	CELE_C35E7.4	2	NA
C35E7.5	WBGene00016457	C35E7.5	CELE_C35E7.5	4	NA
C35E7.6	WBGene00016458	C35E7.6	CELE_C35E7.6	2	NA
C35E7.8	WBGene00016460	slfl-3	C35E7.8,	3	other_RBP
C35E7.9	WBGene00016461	C35E7.9	CELE_C35E7.9	2	NA
C36A4.10	WBGene00007970	C36A4.10	CELE_C36A4.10	4	NA
C36A4.11	WBGene00044167	C36A4.11	CELE_C36A4.11	2	other_RBP
C36A4.14	WBGene00194650	C36A4.14	CELE_C36A4.14	4	NA
C36A4.4	WBGene00007965	C36A4.4	CELE_C36A4.4	3	SPN4
C36A4.5	WBGene00007966	maph-1.3	CELE_C36A4.5	5	SPN4
C36B1.11	WBGene00007978	C36B1.11	CELE_C36B1.11	3	SPN4
C36B1.14	WBGene00044614	C36B1.14	CELE_C36B1.14	4	other_RBP
C36B1.16	WBGene00198377	C36B1.16	CELE_C36B1.16	2	NA
C36B1.9	WBGene00007976	C36B1.9	CELE_C36B1.9	4	NA
C36B7.2	WBGene00016465	C36B7.2	CELE_C36B7.2	2	NA
C36B7.6	WBGene00016469	C36B7.6	CELE_C36B7.6	3	NA
C36C9.1	WBGene00016485	meg-4	CELE_C36C9.1	3	NA
C36C9.5	WBGene00016488	C36C9.5	CELE_C36C9.5	2	NA
C36E6.1	WBGene00016489	fubl-3	fubp-3.3,	4	other_RBP
C36E6.2	WBGene00016490	C36E6.2	CELE_C36E6.2	1	SPN4
C36E6.8	WBGene00044683	C36E6.8	CELE_C36E6.8	2	NA
C36E8.1	WBGene00007980	tif-1A	CELE_C36E8.1	4	NA
C36E8.4	WBGene00007983	C36E8.4	CELE_C36E8.4	2	NA
C36E8.6	WBGene00044230	C36E8.6	CELE_C36E8.6	2	NA
C36F7.2	WBGene00007985	swah-1	CELE_C36F7.2	3	NA
C37A2.6	WBGene00016492	etfm-1	CELE_C37A2.6	1	NA
C37A2.7	WBGene00016493	rplp-2.1	P2A,	4	NA
C37A2.8	WBGene00016494	C37A2.8	CELE_C37A2.8	1	other_RBP
C37A2.9	WBGene00201755	C37A2.9	CELE_C37A2.9	2	NA
C37A5.7	WBGene00007991	C37A5.7	CELE_C37A5.7	5	NA
C37C3.1	WBGene00016495	C37C3.1	CELE_C37C3.1	3	other_RBP
C37C3.2	WBGene00016496	C37C3.2	phi-18,	1	NA
C37C3.9	WBGene00016501	C37C3.9	CELE_C37C3.9	3	other_RBP
C37E2.1	WBGene00007993	idhb-1	CELE_C37E2.1	1	NA
C37E2.2	WBGene00007994	C37E2.2	CELE_C37E2.2	2	NA
C37E2.7	WBGene00200595	C37E2.7	CELE_C37E2.7	2	NA
C37E2.9	WBGene00201941	C37E2.9	CELE_C37E2.9	2	NA
C37H5.13	WBGene00016511	C37H5.13	CELE_C37H5.13	3	other_RBP
C37H5.14	WBGene00045308	C37H5.14	CELE_C37H5.14	2	NA
C37H5.2	WBGene00016506	abhd-5.1	CELE_C37H5.2	2	NA
C37H5.3	WBGene00016507	abhd-5.2	cgi-58,	3	NA
C37H5.5	WBGene00016508	C37H5.5	CELE_C37H5.5	3	NA
C37H5.6	WBGene00016509	adss-1	CELE_C37H5.6	4	NA
C38C10.2	WBGene00008000	slc-17.2	CELE_C38C10.2	4	NA
C38C10.6	WBGene00008002	nlp-48	CELE_C38C10.6	2	NA
C38C3.10	WBGene00045390	spig-7	CELE_C38C3.10	2	NA
C38C3.3	WBGene00016512	C38C3.3	C38C3.d,	2	NA
C38C3.4	WBGene00016513	C38C3.4	CELE_C38C3.4	2	NA
C38C6.3	WBGene00007996	C38C6.3	CELE_C38C6.3	1	NA
C38C6.5	WBGene00007998	C38C6.5	CELE_C38C6.5	2	NA
C38C6.8	WBGene00045388	lfor-1	CELE_C38C6.8	1	NA
C38D4.1	WBGene00008003	enu-3.2	CELE_C38D4.1	5	NA
C38D4.4	WBGene00008005	mip-1	eggd-1,	5	NA
C38D4.7	WBGene00008007	C38D4.7	CELE_C38D4.7	2	NA
C38D4.9	WBGene00008008	metl-5	CELE_C38D4.9	3	NA
C38D9.2	WBGene00008010	C38D9.2	CELE_C38D9.2	2	NA
C38D9.5	WBGene00008013	C38D9.5	CELE_C38D9.5	2	NA
C38D9.8	WBGene00008016	C38D9.8	CELE_C38D9.8	4	NA
C38H2.2	WBGene00008019	C38H2.2	CELE_C38H2.2	2	NA
C39B10.3	WBGene00008023	C39B10.3	CELE_C39B10.3	2	NA
C39B10.5	WBGene00008025	C39B10.5	CELE_C39B10.5	2	NA
C39B10.7	WBGene00164973	C39B10.7	CELE_C39B10.7	2	NA
C39B5.2	WBGene00016520	C39B5.2	CELE_C39B5.2	4	NA
C39B5.5	WBGene00016523	C39B5.5	CELE_C39B5.5	2	NA
C39B5.6	WBGene00016524	C39B5.6	CELE_C39B5.6	3	NA
C39D10.6	WBGene00016533	latd-1	C39D10.6,	2	NA
C39D10.8	WBGene00016535	C39D10.8	CELE_C39D10.8	2	NA
C39E9.10	WBGene00008033	spin-2	CELE_C39E9.10	2	NA
C39E9.11	WBGene00008034	prcc-1	CELE_C39E9.11	3	NA
C39E9.12	WBGene00008035	C39E9.12	CELE_C39E9.12	3	NA
C39E9.8	WBGene00008032	C39E9.8	CELE_C39E9.8	2	NA
C39F7.5	WBGene00016540	C39F7.5	CELE_C39F7.5	3	NA
C40A11.10	WBGene00016553	mir-8199	cel-mir-8199,	4	NA
C40A11.2	WBGene00016545	C40A11.2	CELE_C40A11.2	4	NA
C40A11.3	WBGene00016546	C40A11.3	CELE_C40A11.3	1	NA
C40A11.4	WBGene00016547	C40A11.4	CELE_C40A11.4	1	NA
C40A11.6	WBGene00016549	C40A11.6	CELE_C40A11.6	4	NA
C40A11.7	WBGene00016550	C40A11.7	CELE_C40A11.7	4	NA
C40C9.7	WBGene00195471	C40C9.7	CELE_C40C9.7	2	NA
C40H1.6	WBGene00008041	ufc-1	CELE_C40H1.6	5	SPN4
C40H5.2	WBGene00008045	C40H5.2	CELE_C40H5.2	4	NA
C41C4.1	WBGene00008050	chst-1	CELE_C41C4.1	2	NA
C41D11.3	WBGene00016562	C41D11.3	CELE_C41D11.3	1	other_RBP
C41D11.5	WBGene00016564	cmt-1	CELE_C41D11.5	3	other_RBP
C41D11.9	WBGene00016567	C41D11.9	CELE_C41D11.9	3	other_RBP
C41D7.1	NA	NA	NA	2	NA
C41G11.1	WBGene00016568	C41G11.1	CELE_C41G11.1	2	NA
C41G7.3	WBGene00008061	mina-1	CELE_C41G7.3	3	SPN4
C41G7.6	WBGene00008063	cylc-2	cycl-2,	2	NA
C41G7.9	WBGene00077771	tspo-1	CELE_C41G7.9	4	NA
C41H7.1	NA	NA	NA	2	NA
C41H7.3	WBGene00016573	lido-12	CELE_C41H7.3	1	NA
C41H7.4	WBGene00016574	lido-11	CELE_C41H7.4	2	NA
C41H7.5	WBGene00016575	lido-10	CELE_C41H7.5	4	other_RBP
C41H7.6	WBGene00016576	lido-9	CELE_C41H7.6	4	other_RBP
C42C1.10	WBGene00016588	hpo-12	CELE_C42C1.10	3	NA
C42C1.11	WBGene00016589	ltah-1.1	AP-1,	3	SPN4
C42C1.12	WBGene00016590	C42C1.12	CELE_C42C1.12	3	other_RBP
C42C1.13	WBGene00016591	vkmt-1	CELE_C42C1.13	5	NA
C42C1.3	WBGene00016581	C42C1.3	CELE_C42C1.3	2	NA
C42C1.4	WBGene00016582	vps-8	CELE_C42C1.4	3	NA
C42C1.8	WBGene00016586	C42C1.8	CELE_C42C1.8	3	other_RBP
C42C1.9	WBGene00016587	C42C1.9	CELE_C42C1.9	2	NA
C42D8.1	WBGene00016599	C42D8.1	CELE_C42D8.1	2	NA
C43D7.1	WBGene00014701	C43D7.1	CELE_C43D7.1	2	NA
C43D7.10	WBGene00077441	C43D7.10	CELE_C43D7.10	4	NA
C43D7.11	WBGene00077664	C43D7.11	CELE_C43D7.11	4	NA
C43D7.3	WBGene00014702	C43D7.3	CELE_C43D7.3	2	NA
C43D7.4	WBGene00008067	C43D7.4	CELE_C43D7.4	2	NA
C43D7.7	WBGene00008069	C43D7.7	CELE_C43D7.7	2	NA
C43D7.8	WBGene00008070	C43D7.8	CELE_C43D7.8	4	NA
C43E11.12	WBGene00016609	C43E11.12	CELE_C43E11.12	3	NA
C43E11.5	WBGene00016605	C43E11.5	CELE_C43E11.5	2	NA
C43E11.9	WBGene00016607	C43E11.9	CELE_C43E11.9	5	NA
C43G2.4	WBGene00016613	best-9	CELE_C43G2.4	2	NA
C43H6.1	WBGene00016614	trpp-12	CELE_C43H6.1	5	NA
C43H6.3	WBGene00016616	mtpn-1	CELE_C43H6.3	1	NA
C43H6.4	WBGene00016617	C43H6.4	CELE_C43H6.4	1	NA
C43H6.6	WBGene00016619	C43H6.6	CELE_C43H6.6	2	NA
C43H6.7	WBGene00016620	dhhc-9	CELE_C43H6.7	4	NA
C43H8.1	WBGene00016621	arch-1	CELE_C43H8.1	1	NA
C43H8.2	WBGene00016622	mafr-1	CELE_C43H8.2	3	NA
C44B12.1	WBGene00016636	perm-2	CELE_C44B12.1	2	NA
C44B12.5	WBGene00016638	perm-4	CELE_C44B12.5	2	NA
C44B12.6	WBGene00016639	C44B12.6	CELE_C44B12.6	2	NA
C44B7.1	WBGene00016623	psmd-9	CELE_C44B7.1	3	NA
C44B7.10	WBGene00016630	acer-1	CELE_C44B7.10	3	NA
C44B7.11	WBGene00016631	C44B7.11	CELE_C44B7.11	5	NA
C44B7.12	WBGene00016632	adal-1	CELE_C44B7.12	1	NA
C44B7.2	WBGene00016624	hrpl-1	CELE_C44B7.2	3	NA
C44B7.5	WBGene00016627	C44B7.5	CELE_C44B7.5	2	NA
C44B7.7	WBGene00016629	C44B7.7	CELE_C44B7.7	3	NA
C44B9.2	WBGene00008079	C44B9.2	CELE_C44B9.2	2	NA
C44B9.3	WBGene00008080	C44B9.3	CELE_C44B9.3	4	other_RBP
C44C1.1	WBGene00016641	C44C1.1	CELE_C44C1.1	2	NA
C44C1.2	WBGene00016642	chil-10	CELE_C44C1.2	3	NA
C44C1.6	WBGene00016645	C44C1.6	CELE_C44C1.6	2	NA
C44C10.4	WBGene00008085	smcl-1	CELE_C44C10.4	3	NA
C44C10.5	WBGene00008086	C44C10.5	CELE_C44C10.5	2	NA
C44C10.7	WBGene00008088	C44C10.7	CELE_C44C10.7	2	NA
C44C11.t2	WBGene00023254	C44C11.t2	CELE_C44C11.T2	2	NA
C44E4.1	WBGene00016650	ubr-4	CELE_C44E4.1	3	NA
C44E4.10	WBGene00200262	C44E4.10	CELE_C44E4.10	2	NA
C44E4.3	WBGene00016652	got-2.1	CELE_C44E4.3	3	other_RBP
C44E4.4	WBGene00016653	ssb-1	CELE_C44E4.4	4	NA
C44E4.5	WBGene00016654	C44E4.5	CELE_C44E4.5	3	NA
C44H4.1	WBGene00008093	lron-1	CELE_C44H4.1	2	NA
C44H4.4	WBGene00008094	C44H4.4	CELE_C44H4.4	3	other_RBP
C44H9.4	WBGene00008099	C44H9.4	CELE_C44H9.4	2	NA
C44H9.5	WBGene00008100	C44H9.5	CELE_C44H9.5	2	NA
C45B2.19	WBGene00202484	C45B2.19	CELE_C45B2.19	2	NA
C45B2.6	WBGene00016661	C45B2.6	CELE_C45B2.6	3	NA
C45B2.8	WBGene00016662	C45B2.8	CELE_C45B2.8	2	NA
C45E1.4	WBGene00016663	C45E1.4	CELE_C45E1.4	2	NA
C45E1.5	WBGene00195056	C45E1.5	CELE_C45E1.5	2	NA
C45E5.2	WBGene00016665	chil-11	CELE_C45E5.2	2	NA
C45E5.3	WBGene00016666	C45E5.3	CELE_C45E5.3	2	NA
C45E5.4	WBGene00016667	cpg-18	CELE_C45E5.4	2	NA
C45G3.5	WBGene00044008	gip-2	CELE_C45G3.5	3	NA
C45G7.4	WBGene00016671	C45G7.4	CELE_C45G7.4	2	NA
C45G7.8	WBGene00197721	C45G7.8	CELE_C45G7.8	2	NA
C45G9.11	WBGene00016682	C45G9.11	CELE_C45G9.11	2	NA
C45G9.13	WBGene00016684	nlp-43	CELE_C45G9.13	2	NA
C45G9.15	WBGene00050919	C45G9.15	CELE_C45G9.15	2	NA
C45G9.2	WBGene00016674	C45G9.2	CELE_C45G9.2	5	SPN4
C45G9.5	WBGene00016676	C45G9.5	CELE_C45G9.5	3	NA
C45G9.7	WBGene00016678	txbp-3	CELE_C45G9.7	2	NA
C45H4.13	WBGene00016694	C45H4.13	CELE_C45H4.13	2	NA
C45H4.14	WBGene00016695	C45H4.14	CELE_C45H4.14	4	other_RBP
C45H4.18	WBGene00044087	C45H4.18	CELE_C45H4.18	2	NA
C46A5.2	WBGene00016699	del-7	CELE_C46A5.2	2	NA
C46A5.5	WBGene00016701	dsb-3	CELE_C46A5.5	3	NA
C46A5.6	WBGene00016702	C46A5.6	CELE_C46A5.6	3	other_RBP
C46A5.8	WBGene00016703	rdl-1	CELE_C46A5.8	2	NA
C46C11.1	WBGene00016704	hosl-1	CELE_C46C11.1	1	NA
C46C11.2	WBGene00016705	slcr-46.1	CELE_C46C11.2	2	NA
C46C11.3	WBGene00016706	C46C11.3	CELE_C46C11.3	2	NA
C46C11.4	WBGene00044567	C46C11.4	CELE_C46C11.4	1	NA
C46C2.2	WBGene00008110	C46C2.2	CELE_C46C2.2	4	other_RBP
C46C2.7	WBGene00045078	C46C2.7	CELE_C46C2.7	3	other_RBP
C46C2.8	WBGene00045121	C46C2.8	Ce138a,	2	NA
C46E1.3	WBGene00001362	exc-1	CELE_C46E1.3	2	NA
C46E10.8	WBGene00016712	C46E10.8	CELE_C46E10.8	2	NA
C46E10.9	WBGene00016713	C46E10.9	CELE_C46E10.9	1	NA
C46F11.3	WBGene00008118	madf-8	CELE_C46F11.3	3	SPN4
C46F11.4	WBGene00008119	C46F11.4	CELE_C46F11.4	4	NA
C46F11.5	WBGene00008120	C46F11.5	CELE_C46F11.5	3	other_RBP
C46F11.6	WBGene00008121	C46F11.6	CELE_C46F11.6	5	NA
C46F2.1	WBGene00016714	C46F2.1	CELE_C46F2.1	2	NA
C46F4.4	WBGene00200309	C46F4.4	CELE_C46F4.4	2	NA
C46G7.5	WBGene00044502	C46G7.5	CELE_C46G7.5	1	other_RBP
C46H11.10	WBGene00016734	C46H11.10	C46H11.b,	2	NA
C46H11.2	WBGene00016728	C46H11.2	CELE_C46H11.2	4	NA
C46H3.2	WBGene00016725	C46H3.2	CELE_C46H3.2	5	SPN4
C47A10.13	WBGene00050897	C47A10.13	CELE_C47A10.13	2	NA
C47A4.1	WBGene00008122	C47A4.1	CELE_C47A4.1	3	SPN4
C47B2.2	WBGene00008131	C47B2.2	CELE_C47B2.2	3	NA
C47B2.9	WBGene00008134	C47B2.9	CELE_C47B2.9	3	NA
C47D12.2	WBGene00008136	C47D12.2	CELE_C47D12.2	3	SPN4
C47D12.4	WBGene00008138	C47D12.4	CELE_C47D12.4	1	NA
C47D12.5	WBGene00008139	C47D12.5	CELE_C47D12.5	2	NA
C47D12.8	WBGene00008140	xpf-1	him-9,	5	NA
C47E12.14	WBGene00044240	C47E12.14	CELE_C47E12.14	2	NA
C47E12.2	WBGene00008147	C47E12.2	CELE_C47E12.2	5	other_RBP
C47E12.3	WBGene00008148	C47E12.3	CELE_C47E12.3	3	NA
C47E12.6	WBGene00008150	mam-2	CELE_C47E12.6	2	NA
C47E12.7	WBGene00008151	rrp-1	CELE_C47E12.7	5	NA
C47E8.10	WBGene00044216	C47E8.10	CELE_C47E8.10	2	NA
C47E8.11	WBGene00044180	C47E8.11	CELE_C47E8.11	2	NA
C47E8.12	WBGene00195235	C47E8.12	CELE_C47E8.12	2	NA
C47E8.3	WBGene00008142	C47E8.3	CELE_C47E8.3	4	NA
C47E8.4	WBGene00008143	C47E8.4	CELE_C47E8.4	4	NA
C47E8.t1	WBGene00014287	C47E8.t1	CELE_C47E8.T1	2	NA
C47F8.1	WBGene00008157	C47F8.1	CELE_C47F8.1	4	other_RBP
C47F8.5	WBGene00008161	C47F8.5	CELE_C47F8.5	2	NA
C47F8.6	WBGene00008162	C47F8.6	CELE_C47F8.6	2	NA
C47G2.13	WBGene00196949	C47G2.13	CELE_C47G2.13	2	NA
C47G2.16	WBGene00198159	C47G2.16	CELE_C47G2.16	2	NA
C47G2.3	WBGene00008164	C47G2.3	CELE_C47G2.3	3	NA
C47G2.4	WBGene00008165	C47G2.4	CELE_C47G2.4	5	other_RBP
C47G2.6	WBGene00044038	C47G2.6	CELE_C47G2.6	2	NA
C47G2.7	NA	NA	NA	2	NA
C47G2.8	WBGene00044161	C47G2.8	CELE_C47G2.8	2	NA
C48A7.2	WBGene00016739	pitr-1	rme-10,	3	NA
C48B4.10	WBGene00008173	C48B4.10	CELE_C48B4.10	3	other_RBP
C48B4.11	WBGene00008174	C48B4.11	CELE_C48B4.11	3	NA
C48B4.3	WBGene00008168	C48B4.3	CELE_C48B4.3	2	NA
C48B4.6	WBGene00008169	C48B4.6	CELE_C48B4.6	2	NA
C48B4.7	WBGene00008170	C48B4.7	CELE_C48B4.7	3	other_RBP
C48B4.8	WBGene00008171	C48B4.8	CELE_C48B4.8	3	other_RBP
C48B4.9	WBGene00008172	C48B4.9	CELE_C48B4.9	3	other_RBP
C48B6.10	WBGene00016746	C48B6.10	CELE_C48B6.10	1	other_RBP
C48B6.2	WBGene00016740	C48B6.2	CELE_C48B6.2	2	NA
C48B6.3	WBGene00016741	haps-1	CELE_C48B6.3	3	NA
C48B6.9	WBGene00016745	C48B6.9	T10B11.g,	1	NA
C48C5.t1	WBGene00022962	C48C5.t1	CELE_C48C5.T1	2	NA
C48D1.1	WBGene00008177	C48D1.1	CELE_C48D1.1	4	NA
C48D1.5	WBGene00008178	C48D1.5	CELE_C48D1.5	2	NA
C48E7.1	WBGene00016749	C48E7.1	CELE_C48E7.1	2	other_RBP
C48E7.11	WBGene00016754	cebp-2	CELE_C48E7.11	5	NA
C48E7.2	WBGene00016750	let-611	CELE_C48E7.2	3	NA
C48G7.4	WBGene00197665	C48G7.4	CELE_C48G7.4	2	NA
C49A1.1	WBGene00008184	C49A1.1	CELE_C49A1.1	2	NA
C49A1.10	WBGene00008191	C49A1.10	CELE_C49A1.10	2	NA
C49A1.2	WBGene00008185	best-10	CELE_C49A1.2	2	NA
C49A1.5	WBGene00008187	C49A1.5	CELE_C49A1.5	2	NA
