".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"lin_41_mRNA_molecules","2-cell_DG5919","2-cell_DG5965_bright",20,9,0.855152189062087,0.392466900605823,1,"ns"
"lin_41_mRNA_molecules","2-cell_DG5919","4-cell_DG5919",20,14,-3.80979219833793,0.000139083642089652,0.000834501852537913,"***"
"lin_41_mRNA_molecules","2-cell_DG5919","4-cell_DG5965_bright",20,11,-2.9802696469378,0.00287994749910151,0.0172796849946091,"*"
"lin_41_mRNA_molecules","2-cell_DG5965_bright","4-cell_DG5919",9,14,-3.91069130634297,9.20323331241934e-05,0.00055219399874516,"***"
"lin_41_mRNA_molecules","2-cell_DG5965_bright","4-cell_DG5965_bright",9,11,-3.25269119345812,0.00114317659735665,0.00685905958413991,"**"
"lin_41_mRNA_molecules","4-cell_DG5919","4-cell_DG5965_bright",14,11,0.51836127623349,0.604206227287439,1,"ns"
