"Comparison","diff","lwr","upr","p adj"
"2-cell_wDMP91_bright-2-cell_N2",5504.09318996416,2872.19495675059,8135.99142317774,4.83026043018864e-06
"4-cell_N2-2-cell_N2",-2477.55760368663,-4715.77666833022,-239.338539043044,0.0244660600073734
"4-cell_wDMP91_bright-2-cell_N2",4000.72811059908,1091.99998770418,6909.45623349398,0.00321522473223679
"4-cell_N2-2-cell_wDMP91_bright",-7981.6507936508,-10951.4004719621,-5011.9011153395,1.23156490561271e-08
"4-cell_wDMP91_bright-2-cell_wDMP91_bright",-1503.36507936508,-5006.29069424983,1999.56053551966,0.669138993180558
"4-cell_wDMP91_bright-4-cell_N2",6478.28571428571,3260.64307801347,9695.92835055796,1.03047183962479e-05
