"Term","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"subdirectory",3,440523257.756827,146841085.918942,21.2863077800743,2.24345494481845e-09
"Residuals   ",57,393207783.325141,6898382.16359896,NA,NA
