gene_ID	name	SPN4	OMA1	LIN41	spn4_enrichment	oma1_enrichment	lin41_enrichment	Log2_SPN-4_LYSATE_FPKM	Log2_SPN-4_IP_FPKM	Log2_OMA-1_LYSATE_FPKM	Log2_OMA-1_IP_FPKM	Log2_LIN-41_LYSATE_FPKM	Log2_LIN-41_IP_FPKM
WBGene00044570	T22B7.8	FALSE	FALSE	FALSE	-2.297549156	-0.413513028	-0.254100395	-0.396	-3.322	0.317	-0.117	-0.555	-0.851
WBGene00020673	T22B7.4	FALSE	FALSE	FALSE	0.323650932	0.540557861	1.87957219	1.986	2.295	1.792	2.312	2.27	4.126
WBGene00005718	srv-7	FALSE	FALSE	FALSE	1.898488876	2.388026912	1.302151715	0.148	1.939	0.601	2.927	0.568	1.817
WBGene00020672	T22B7.3	FALSE	FALSE	FALSE	-0.081948914	-0.074009311	-0.423501478	0.866	0.588	-0.097	-0.21	-0.351	-0.75
WBGene00020674	T22B7.7	FALSE	FALSE	FALSE	-2.462962782	-1.979981841	1.566072561	3.698	1.221	5.561	3.592	2.283	3.811
WBGene00198380	T22B7.13	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00197793	T22B7.11	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00199914	T22B7.16	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00199464	T22B7.14	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00201442	T22B7.20	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00200628	T22B7.18	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00199610	T22B7.15	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00001182	egl-13	FALSE	FALSE	FALSE	-0.137776281	-0.740860193	-0.288175212	1.349	1.111	1.22	0.51	1.134	0.867
WBGene00202211	T22B7.21	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00200972	T22B7.19	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00196495	T22B7.10	FALSE	FALSE	FALSE			0.595154057	-3.322	-3.322	-3.322	-3.322	-2.421	-3.322
WBGene00195262	T22B7.9	FALSE	FALSE	FALSE			1.5391593	-3.322	-3.322	-3.322	-3.322	-2.33	-2.17
WBGene00198168	T22B7.12	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00200464	T22B7.17	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00020919	set-19	TRUE	FALSE	FALSE	2.804216587	0.176587146	0.509601099	2.519	5.288	2.467	2.636	2.666	3.178
WBGene00020920	set-20	TRUE	FALSE	FALSE	3.77789686	-0.762785719	-0.589320997	1.427	5.148	1.589	0.866	1.989	1.387
WBGene00044749	W01C8.8	FALSE	FALSE	FALSE		1.390803573		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00020918	W01C8.1	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00020921	W01C8.5	FALSE	FALSE	FALSE	0.968267674	1.042262348	1.415387701	3.188	4.151	2.631	3.661	3.42	4.816
WBGene00199689	W01C8.13	FALSE	FALSE	FALSE			0.595115533	-3.322	-3.322	-3.322	-3.322	-2.368	-3.322
WBGene00197475	W01C8.11	FALSE	FALSE	FALSE	0.789813324	-0.024812051		-2.124	-3.322	-2.696	-3.322	-3.322	-3.322
WBGene00201112	W01C8.15	FALSE	FALSE	FALSE	0.789813324	2.352652514	0.551709869	-1.813	-3.322	-3.322	-2.281	-1.425	-2.2
WBGene00200412	W01C8.14	FALSE	FALSE	FALSE		-1.05422526	0.728167546	-3.322	-3.322	-1.962	-3.322	-1.997	-2.073
WBGene00195925	W01C8.9	FALSE	FALSE	FALSE		1.390802126		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00195981	W01C8.10	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00198598	W01C8.12	FALSE	FALSE	FALSE		1.827386683	2.032558416	-3.322	-3.322	-2.382	-1.322	-3.322	-3.322
WBGene00000295	cat-1	FALSE	FALSE	FALSE	-1.08420011	0.604881833	-1.706659431	-1.711	-2.567	-2.129	-1.881	-1.933	-2.921
WBGene00197566	E03E2.2	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00017108	cyp-43A1	FALSE	FALSE	FALSE	-1.567198589	-1.15056733	-0.823835417	2.358	0.863	2.603	1.477	2.341	1.531
WBGene00016568	C41G11.1	FALSE	FALSE	FALSE	-1.091878434	-1.321746572	-1.442607301	0.741	-0.997	1.697	0.402	0.702	-0.696
