".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"lin.41.mRNA.molecules","2-cell_N2","2-cell_DG3913",31,24,-0.757473681634464,0.44876612758158,1,"ns"
"lin.41.mRNA.molecules","2-cell_N2","2-cell_DG5410",31,24,-1.92604889075347,0.0540982694328224,1,"ns"
"lin.41.mRNA.molecules","2-cell_N2","2-cell_DG5329",31,14,-0.123679956465979,0.901568682218459,1,"ns"
"lin.41.mRNA.molecules","2-cell_N2","2-cell_DG5779",31,24,3.11106672493473,0.00186412812136872,0.169635659044553,"ns"
"lin.41.mRNA.molecules","2-cell_N2","2-cell_DG5399",31,18,4.02364998157078,5.73030627490861e-05,0.00521457871016684,"**"
"lin.41.mRNA.molecules","2-cell_N2","2-cell_DG5398",31,23,4.95637676240463,7.18198853854708e-07,6.53560957007784e-05,"****"
"lin.41.mRNA.molecules","2-cell_N2","4-cell_N2",31,14,-3.5711288270345,0.000355446000421603,0.0323455860383659,"*"
"lin.41.mRNA.molecules","2-cell_N2","4-cell_DG3913",31,7,-2.77767618561537,0.00547491493774616,0.4982172593349,"ns"
"lin.41.mRNA.molecules","2-cell_N2","4-cell_DG5410",31,11,-3.70467579702467,0.00021166127320302,0.0192611758614749,"*"
"lin.41.mRNA.molecules","2-cell_N2","4-cell_DG5329",31,5,-2.74083111263664,0.00612839989706725,0.55768439063312,"ns"
"lin.41.mRNA.molecules","2-cell_N2","4-cell_DG5779",31,17,-0.624554240484818,0.532263660593788,1,"ns"
"lin.41.mRNA.molecules","2-cell_N2","4-cell_DG5399",31,14,2.82437211509495,0.00473733490965913,0.431097476778981,"ns"
"lin.41.mRNA.molecules","2-cell_N2","4-cell_DG5398",31,12,1.8053039314727,0.0710271347759467,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","2-cell_DG5410",24,24,-1.10063208426922,0.271056815763129,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","2-cell_DG5329",24,14,0.493983486948625,0.621317841603005,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","2-cell_DG5779",24,24,3.64361630944742,0.000268834085923444,0.0244639018190334,"*"
"lin.41.mRNA.molecules","2-cell_DG3913","2-cell_DG5399",24,18,4.48451461081341,7.30800987767302e-06,0.000665028898868244,"***"
"lin.41.mRNA.molecules","2-cell_DG3913","2-cell_DG5398",24,23,5.38032240304615,7.43525584072395e-08,6.76608281505879e-06,"****"
"lin.41.mRNA.molecules","2-cell_DG3913","4-cell_N2",24,14,-2.80695222599457,0.00500126582782341,0.45511519033193,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","4-cell_DG3913",24,7,-2.22649272222884,0.0259811959254002,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","4-cell_DG5410",24,11,-3.00517334426372,0.00265429531177981,0.241540873371963,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","4-cell_DG5329",24,5,-2.26800610066813,0.0233288348440477,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","4-cell_DG5779",24,17,0.0550833678742938,0.956072046539271,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","4-cell_DG5399",24,14,3.3167462695122,0.000910722841128721,0.0828757785427136,"ns"
"lin.41.mRNA.molecules","2-cell_DG3913","4-cell_DG5398",24,12,2.31854882085614,0.0204195128840198,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5410","2-cell_DG5329",24,14,1.43876064777933,0.150218349494634,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5410","2-cell_DG5779",24,24,4.74424839371664,2.0928192073091e-06,0.000190446547865128,"***"
"lin.41.mRNA.molecules","2-cell_DG5410","2-cell_DG5399",24,18,5.5035019168844,3.72320480238125e-08,3.38811637016694e-06,"****"
"lin.41.mRNA.molecules","2-cell_DG5410","2-cell_DG5398",24,23,6.46918268271836,9.85344140416829e-11,8.96663167779314e-09,"****"
"lin.41.mRNA.molecules","2-cell_DG5410","4-cell_N2",24,14,-1.86217506516386,0.0625784179132147,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5410","4-cell_DG3913",24,7,-1.48684429247146,0.137055940188604,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5410","4-cell_DG5410",24,11,-2.13256474818443,0.0329604477126266,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5410","4-cell_DG5329",24,5,-1.62169268653863,0.104869165527862,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5410","4-cell_DG5779",24,17,1.05736483225365,0.290345115123316,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5410","4-cell_DG5399",24,14,4.2615234303429,2.03038061996807e-05,0.00184764636417094,"**"
"lin.41.mRNA.molecules","2-cell_DG5410","4-cell_DG5398",24,12,3.21721115452131,0.00129443293496109,0.117793397081459,"ns"
"lin.41.mRNA.molecules","2-cell_DG5329","2-cell_DG5779",14,24,2.63367880928711,0.00844653478349481,0.768634665298027,"ns"
"lin.41.mRNA.molecules","2-cell_DG5329","2-cell_DG5399",14,18,3.45776359193425,0.00054467911642427,0.0495657995946085,"*"
"lin.41.mRNA.molecules","2-cell_DG5329","2-cell_DG5398",14,23,4.14135237110462,3.45264065846581e-05,0.00314190299920389,"**"
"lin.41.mRNA.molecules","2-cell_DG5329","4-cell_N2",14,14,-2.9370290760016,0.00331373033085275,0.3015494601076,"ns"
"lin.41.mRNA.molecules","2-cell_DG5329","4-cell_DG3913",14,7,-2.42496848871884,0.015309715559649,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5329","4-cell_DG5410",14,11,-3.12807449781875,0.00175955576560027,0.160119574669624,"ns"
"lin.41.mRNA.molecules","2-cell_DG5329","4-cell_DG5329",14,5,-2.45891937296842,0.0139355910544553,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5329","4-cell_DG5779",14,17,-0.41191863765646,0.680399059620198,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5329","4-cell_DG5399",14,14,2.51157159302941,0.0120194902915411,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5329","4-cell_DG5398",14,12,1.66143733163865,0.0966256453731286,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5779","2-cell_DG5399",24,18,1.1111813956679,0.266490277572662,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5779","2-cell_DG5398",24,23,1.77567637243605,0.0757862739434735,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5779","4-cell_N2",24,14,-5.93461452223031,2.94536682377221e-09,2.68028380963271e-07,"****"
"lin.41.mRNA.molecules","2-cell_DG5779","4-cell_DG3913",24,7,-4.67508123826374,2.93837279394803e-06,0.00026739192424927,"***"
"lin.41.mRNA.molecules","2-cell_DG5779","4-cell_DG5410",24,11,-5.89392332518907,3.77132217668106e-09,3.43190318077977e-07,"****"
"lin.41.mRNA.molecules","2-cell_DG5779","4-cell_DG5329",24,5,-4.4076112697292,1.04516910470534e-05,0.000951103885281856,"***"
"lin.41.mRNA.molecules","2-cell_DG5779","4-cell_DG5779",24,17,-3.26294555610916,0.00110260699794601,0.100337236813087,"ns"
"lin.41.mRNA.molecules","2-cell_DG5779","4-cell_DG5399",24,14,0.189083973276458,0.850027002379329,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5779","4-cell_DG5398",24,12,-0.656451438020177,0.511533703498731,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5399","2-cell_DG5398",18,23,0.54548975802318,0.585416722728303,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5399","4-cell_N2",18,14,-6.57295335620844,4.93269143856201e-11,4.48874920909143e-09,"****"
"lin.41.mRNA.molecules","2-cell_DG5399","4-cell_DG3913",18,7,-5.28631205107613,1.24806920648451e-07,1.13574297790091e-05,"****"
"lin.41.mRNA.molecules","2-cell_DG5399","4-cell_DG5410",18,11,-6.51282939507628,7.37482571175119e-11,6.71109139769359e-09,"****"
"lin.41.mRNA.molecules","2-cell_DG5399","4-cell_DG5329",18,5,-4.97153607147139,6.64245022457537e-07,6.04462970436358e-05,"****"
"lin.41.mRNA.molecules","2-cell_DG5399","4-cell_DG5779",18,17,-4.08288736224788,4.44795848626072e-05,0.00404764222249726,"**"
"lin.41.mRNA.molecules","2-cell_DG5399","4-cell_DG5399",18,14,-0.793839634634358,0.427288795649769,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5399","4-cell_DG5398",18,12,-1.55244557121466,0.120555646583662,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5398","4-cell_N2",23,14,-7.41616381808375,1.20561364204426e-13,1.09710841426028e-11,"****"
"lin.41.mRNA.molecules","2-cell_DG5398","4-cell_DG3913",23,7,-5.85261542466045,4.83902185832415e-09,4.40350989107498e-07,"****"
"lin.41.mRNA.molecules","2-cell_DG5398","4-cell_DG5410",23,11,-7.26745882380528,3.6631294144985e-13,3.33344776719363e-11,"****"
"lin.41.mRNA.molecules","2-cell_DG5398","4-cell_DG5329",23,5,-5.44124086217625,5.2910717556555e-08,4.81487529764651e-06,"****"
"lin.41.mRNA.molecules","2-cell_DG5398","4-cell_DG5779",23,17,-4.85387576694405,1.21071599140725e-06,0.00011017515521806,"***"
"lin.41.mRNA.molecules","2-cell_DG5398","4-cell_DG5399",23,14,-1.34092949822059,0.179943343817649,1,"ns"
"lin.41.mRNA.molecules","2-cell_DG5398","4-cell_DG5398",23,12,-2.10674808314176,0.0351394218760501,1,"ns"
"lin.41.mRNA.molecules","4-cell_N2","4-cell_DG3913",14,7,-0.0268942900782125,0.978544047729213,1,"ns"
"lin.41.mRNA.molecules","4-cell_N2","4-cell_DG5410",14,11,-0.372897004791234,0.709225101335533,1,"ns"
"lin.41.mRNA.molecules","4-cell_N2","4-cell_DG5329",14,5,-0.328174532446709,0.742779702644836,1,"ns"
"lin.41.mRNA.molecules","4-cell_N2","4-cell_DG5779",14,17,2.66394343909683,0.00772305469727885,0.702797977452375,"ns"
"lin.41.mRNA.molecules","4-cell_N2","4-cell_DG5399",14,14,5.44860066903101,5.07676537778669e-08,4.61985649378589e-06,"****"
"lin.41.mRNA.molecules","4-cell_N2","4-cell_DG5398",14,12,4.48324359331063,7.35169258687428e-06,0.000669004025405559,"***"
"lin.41.mRNA.molecules","4-cell_DG3913","4-cell_DG5410",7,11,-0.284998181627952,0.775645535034125,1,"ns"
"lin.41.mRNA.molecules","4-cell_DG3913","4-cell_DG5329",7,5,-0.270733627096337,0.78659591164607,1,"ns"
"lin.41.mRNA.molecules","4-cell_DG3913","4-cell_DG5779",7,17,2.16856701415364,0.0301155717400454,1,"ns"
"lin.41.mRNA.molecules","4-cell_DG3913","4-cell_DG5399",7,14,4.47565810718255,7.61763017642723e-06,0.000693204346054878,"***"
"lin.41.mRNA.molecules","4-cell_DG3913","4-cell_DG5398",7,12,3.73458244301277,0.000188026890683793,0.0171104470522251,"*"
"lin.41.mRNA.molecules","4-cell_DG5410","4-cell_DG5329",11,5,-0.0384354353530512,0.969340508519199,1,"ns"
"lin.41.mRNA.molecules","4-cell_DG5410","4-cell_DG5779",11,17,2.87289110525677,0.00406734285877305,0.370128200148347,"ns"
"lin.41.mRNA.molecules","4-cell_DG5410","4-cell_DG5399",11,14,5.48413749419274,4.15491533897763e-08,3.78097295846965e-06,"****"
"lin.41.mRNA.molecules","4-cell_DG5410","4-cell_DG5398",11,12,4.58513435567812,4.53694596348731e-06,0.000412862082677345,"***"
"lin.41.mRNA.molecules","4-cell_DG5329","4-cell_DG5779",5,17,2.22586925752169,0.0260229401024914,1,"ns"
"lin.41.mRNA.molecules","4-cell_DG5329","4-cell_DG5399",5,14,4.28100491416223,1.86051248990512e-05,0.00169306636581366,"**"
"lin.41.mRNA.molecules","4-cell_DG5329","4-cell_DG5398",5,12,3.63461883898655,0.00027839191236708,0.0253336640254043,"*"
"lin.41.mRNA.molecules","4-cell_DG5779","4-cell_DG5399",17,14,3.04221190889876,0.00234846500372753,0.213710315339206,"ns"
"lin.41.mRNA.molecules","4-cell_DG5779","4-cell_DG5398",17,12,2.12782662889915,0.0333514606633629,1,"ns"
"lin.41.mRNA.molecules","4-cell_DG5399","4-cell_DG5398",14,12,-0.751602602407959,0.452290077852634,1,"ns"
