"Term","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"subdirectory",13,1291984666.88924,99383435.9145572,32.1008192559213,5.02096554109806e-44
"Residuals   ",224,693499111.888068,3095978.17807173,NA,NA
