transcript	cell_stage	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
mcm-2	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	0.574758676922216	11.9854628871987	0.576	0.666923076923077	ns
mex-5	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	0.892383390534348	13.3603464318493	0.388	0.491466666666667	ns
mex-5	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	4.2929579301973	12.9828018391876	0.000877	0.00327586206896552	**
mex-5	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	3.13458145495163	13.9409392824769	0.007	0.018302752293578	*
mex-5	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-0.503375523828085	10.256490883769	0.625	0.706845238095238	ns
mex-5	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	10	3.15053897885378	15.6547087566868	0.006	0.0158333333333333	*
mex-5	4-cell	total_no_RNA	spn4_minus	spn4_wt	9	10	2.08196446217164	10.2126725940272	0.063	0.11221875	ns
mex-5	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-4.12716119852562	13.8994312317379	0.001	0.00327586206896552	**
mex-5	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.33985973261337	10.4242223023848	0.209	0.287753623188406	ns
mex-5	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	7.13579670739775	13.2875553222833	6.76e-06	6.88071428571429e-05	****
mex-5	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	-11.8440859983968	10.4889013112106	2.11e-07	6.01090909090909e-06	****
mex-5	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	9	9	2.45088531532408	13.1007086399103	0.029	0.0594604316546763	ns
mex-5	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	21.6232172979834	13.6597731730048	5.84e-12	1.6644e-09	****
mex-5	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-13.9265408497005	8.71700780469881	2.96e-07	7.03e-06	****
mex-5	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.59858223658654	13.9998957954897	0.132	0.206703296703297	ns
