gene_ID	name	SPN4	OMA1	LIN41	spn4_enrichment	oma1_enrichment	lin41_enrichment	Log2_SPN-4_LYSATE_FPKM	Log2_SPN-4_IP_FPKM	Log2_OMA-1_LYSATE_FPKM	Log2_OMA-1_IP_FPKM	Log2_LIN-41_LYSATE_FPKM	Log2_LIN-41_IP_FPKM	Kimble_Log2FC	Kimble_Adjusted_p-value	Kimble_Sperm_FPKM	Kimble_Oocyte_FPKM	Stoeckius_Sperm_RPKM	Stoeckius_Oocyte_RPKM	Stoeckius_oneCell_RPKM	Stoeckius_twoCell_RPKM
WBGene00219752	anr-50	FALSE	FALSE	FALSE			2.032558416	-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00021525	Y41D4B.26	FALSE	FALSE	FALSE	-0.96012353	3.88154053	3.41632497	-1.54	-3.322	-2.859	-0.429	-3.017	-1.406	-2.26383719	0.51725771	0	0.041	0.15	0.28	2.088	2.716
WBGene00021513	Y41D4B.6	FALSE	FALSE	FALSE	-0.515066025	1.390858859	-0.410066176	-2.481	-3.322	-3.322	-3.322	-2.946	-3.322	0.538683484	0.816467148	0.018	0.011	0.025	0.044	0.389	0.325
WBGene00021522	nhr-274	FALSE	FALSE	FALSE	-0.092157335	-0.116808454	0.891698458	3.976	3.877	3.758	3.643	3.804	4.684	-0.854454691	3.06724E-16	11.811	21.335	11.895	31.95	23.3	25.55
WBGene00003297	Y41D4B.25	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00220154	Y41D4B.35	FALSE	FALSE	FALSE	1.266355093	-0.310505138	0.505262212	1.569	-0.854	2.997	2.513	1.521	0.563	0.601238799		0.118	0.05				
WBGene00004497	rps-28	FALSE	FALSE	FALSE	-1.723539086	-1.67586988	-1.894882518	9.215	7.473	8.23	6.556	8.487	6.6	1.063841541	6.20861E-07	2538.528	1214.309	993.402	121.248	569.268	577.152
WBGene00021512	Y41D4B.4	FALSE	FALSE	FALSE	-0.046193595	-0.557215751	0.696599651	4.684	4.639	4.616	4.059	4.645	5.342	-0.618412311	0.000984765	28.608	43.914	18.424	48.214	4.506	6.119
WBGene00220155	Y41D4B.36	FALSE	FALSE	FALSE	2.311467619	2.352560232	4.87366155	-0.067	0.76	-3.322	-2.404	-3.322	-0.335	-0.875720679	0.224846038	0.499	0.935				
WBGene00021511	Y41D4B.1	FALSE	FALSE	FALSE	-0.460074014	1.136222601	0.768220111	-1.635	-2.624	-2.612	-2.084	-2.366	-2.125	2.088141069	1.26254E-08	1.102	0.257	0.061	0.256	0.14	0.173
WBGene00021524	Y41D4B.24	FALSE	TRUE	FALSE	0.627193207	7.162434077	3.240343422	-1.854	-1.557	-2.702	2.951	-2.1	0.432	0.889435346	0.253795094	0.09	0.048	0.085	0.098	0.254	0.202
WBGene00200640	Y41D4B.30	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00197111	Y41D4B.28	FALSE	FALSE	FALSE			0.57734779	-3.322	-3.322	-3.322	-3.322	-2.426	-3.322			0	0				
WBGene00044618	bus-2	FALSE	FALSE	FALSE	1.59676119	-1.124804647	0.61343155	-2.731	-2.432	-2.644	-3.062	-2.436	-2.358	-0.453984485	0.724862077	0.034	0.047				
WBGene00019538	K08D12.4	FALSE	FALSE	FALSE	-0.262250728	2.646554604	0.728901943	1.534	1.35	0.578	3.157	1.289	2.007	0.467974321	0.055810614	2.342	1.701	1.781	1.838	10.494	9.412
WBGene00003947	pbs-1	FALSE	FALSE	FALSE	0.298073996	-1.075378992	-0.321076159	7.626	7.93	6.968	5.894	7.083	6.767	-0.007480956	0.961202382	328.246	329.939	189.69	1101.573	668.671	710.649
WBGene00019537	K08D12.3	FALSE	FALSE	FALSE	2.333364881	1.718708625	0.328909308	7.363	9.691	6.636	8.354	6.772	7.101	0.585335947	0.006219602	694.67	463	273.867	819.898	1278.417	1227.283
WBGene00019536	rpi-2	FALSE	FALSE	FALSE	1.030064575	-1.2981455	-0.688859112	1.032	2.124	0.751	-0.479	1.171	0.534	1.127948992	0.020974159	0.745	0.347	1.175	0.086	0.05	0.091
WBGene00019540	K08D12.6	TRUE	TRUE	FALSE	2.660303824	3.311284569	1.871673557	4.728	7.366	2.795	6.087	4.271	6.135	1.536089619	1.9296E-05	38.666	13.334	29.672	0.178	0.014	0.012
WBGene00044293	K08D12.7	FALSE	FALSE	FALSE	0.789813324	-0.112771899	0.758664769	-2.415	-3.322	-2.848	-3.322	-2.334	-2.328	-0.490265306	0.741819757	0.065	0.091	0.049	0.083	0.052	0.204
WBGene00195004	K08D12.8	FALSE	FALSE	FALSE	-0.515031966	1.570304644	1.280383704	-1.825	-3.322	-2.444	-1.141	-1.798	-2.059	1.674509805	0.034166711	0.365	0.107				
WBGene00021507	Y41D4A.5	FALSE	FALSE	FALSE	1.409443051	0.296531033	1.511676601	5.01	6.426	4.914	5.206	4.823	6.317	-0.631257908	0.004456237	43.667	67.634	27.386	118.557	7.204	13.262
WBGene00021508	Y41D4A.6	FALSE	FALSE	FALSE	0.013427427	-0.383826795	-0.187165216	3.657	3.713	3.242	2.855	3.7	3.522	0.107082275	0.537525212	32.835	30.482	19.327	38.174	32.757	36.079
WBGene00021506	Y41D4A.4	TRUE	TRUE	FALSE	2.996677287	2.67210732	1.780060816	5.524	8.527	5.301	7.969	5.215	6.991	0.71140585	1.3541E-05	119.647	73.071	111.443	185.941	25.995	31.236
WBGene00021509	Y41D4A.7	FALSE	FALSE	FALSE	-0.116638791	0.543567925	0.097804658	0.598	0.238	0.523	1.018	0.719	0.824	0.107094072	0.742643314	0.389	0.361	5.306	0.265	0.096	0.119
WBGene00021505	Y41D4A.3	FALSE	FALSE	FALSE	-1.049374481	-0.313419482	0.144072946	-0.317	-1.613	1.18	0.88	-0.49	-0.368	-1.17704077	0.054060916	0.112	0.253	0.646	0.073	1	1.144
WBGene00000682	col-108	FALSE	FALSE	FALSE	-0.051627932	-1.054181379	0.945351267	-2.511	-3.322	-2.878	-3.322	-2.749	-2.331	1.976181141	0.40262766	0.028	0.004	0.073	0.014	0	0.016
WBGene00021504	Y41D4A.1	FALSE	FALSE	FALSE	0.789776034	-1.611583091	-0.761413701	-2.754	-3.322	-2.644	-3.322	-2.299	-2.868	-1.932392856	0.603980938	0	0.028	0.11	0.026	0.035	0.056
WBGene00021510	frpr-19	FALSE	FALSE	TRUE	0.776012264	2.198167835	4.03905805	2.445	3.237	2.09	4.259	2.153	6.157	-3.37799427	2.34847E-24	0.193	2.048	0.867	6.364	2.797	1.984
WBGene00198094	Y38C1BA.5	FALSE	FALSE	FALSE	2.711366059	1.474510155	0.145349845	-1.876	-1.225	-0.051	1.337	-0.17	-1.729			0	0				
WBGene00021410	Y38C1BA.1	FALSE	FALSE	TRUE	1.176681434	2.218145816	4.342007331	1.466	2.741	2.282	4.474	1.234	5.501	-4.660148592	1.18504E-27	0.076	1.982	0.196	5.896	1.008	0.442
WBGene00004913	snn-1	FALSE	TRUE	TRUE	0.929958884	4.354268429	3.31927114	0.859	1.735	-0.173	4.016	0.347	3.608	0.776960708	0.024810618	0.961	0.557	1.009	5.789	3.707	4.111
WBGene00000683	col-109	FALSE	FALSE	FALSE	-0.810625457	-0.530583836	-0.715668924	3.014	2.272	-0.813	-1.279	0.004	-0.63	-0.267509991	0.851267562	0.089	0.864	0.18	0.153	0.12	0.159
WBGene00195012	Y38C1BA.4	FALSE	FALSE	FALSE		2.352607855		-3.322	-3.322	-3.322	-2.573	-3.322	-3.322	-0.120101966		0	0.014				
WBGene00000553	cmk-1	FALSE	FALSE	FALSE	-0.468533182	0.294127261	0.538125816	0.473	-0.074	-0.265	-0.005	0.189	0.622	-0.627012442	0.324654459	0.133	0.209	0.677	0.428	0.226	0.311
WBGene00019462	ccm-2	FALSE	FALSE	FALSE	-2.024190247	-2.163809532	-1.068931286	0.278	-2.381	1.216	-0.748	0.884	-0.284	0.301481695	0.376324787	0.756	0.62				
WBGene00197160	K07A9.5	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00198204	K07A9.6	FALSE	FALSE	FALSE		-0.11963462		-3.322	-3.322	-1.88	-3.322	-3.322	-3.322			0	0				
WBGene00001173	egl-4	FALSE	FALSE	FALSE	0.702444044	2.012522689	1.742832895	5.698	6.405	5.414	7.423	5.467	7.207	-0.700583946	0.000233739	47.209	76.721	36.1	124.594	11.083	16.522
WBGene00201394	F55A8.6	FALSE	FALSE	FALSE		2.352648432	2.03262546	-3.322	-3.322	-3.322	-2.326	-3.322	-3.322			0	0				
WBGene00001186	egl-18	FALSE	TRUE	FALSE	2.269595611	3.651664422	1.893784028	4.178	6.453	4.071	7.715	4.168	6.059	-7.395962101	1.6962E-137	0.111	18.632	2.215	84.271	27.595	34.006
WBGene00198086	F55A8.5	FALSE	FALSE	FALSE	2.162348848			-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00195510	F55A8.3	FALSE	FALSE	FALSE	0.789813324		0.57734779	-2.054	-3.322	-3.322	-3.322	-2.562	-3.322			0	0				
WBGene00196527	F55A8.4	FALSE	FALSE	FALSE		1.390871213	0.595115533	-3.322	-3.322	-3.322	-3.322	-2.307	-3.322			0	0				
WBGene00001253	elt-6	FALSE	FALSE	FALSE	2.213881308	1.666232718	1.936501724	1.344	3.498	0.977	2.591	1.53	3.439	-3.590557119	5.65831E-17	0.078	0.934	0.354	7.298	4.658	6.625
WBGene00018681	denn-4	FALSE	FALSE	FALSE	-0.80251258	-1.303062385	-1.41707355	3.843	3.051	3.701	2.409	3.675	2.283	0.134634714	0.659129246	14.943	13.611	11.88	19.439	4.877	5.963
WBGene00018680	tsen-54	FALSE	FALSE	TRUE	-0.158460107	0.516008406	2.552357182	3.363	3.234	3.3	3.811	3.27	5.811	-1.041229955	1.84814E-13	7.108	14.62	5.381	22.035	14.175	14.422
WBGene00018679	F52C12.2	FALSE	FALSE	FALSE	0.506825964	1.421812023	0.610504051	4.697	5.19	4.483	5.901	4.639	5.246	-0.275414081	0.005898882	43.817	53.033	15.261	31.658	63.94	58.455
WBGene00138717	F52C12.6	FALSE	FALSE	FALSE	-0.321461001	0.017979921	1.41530053	3.103	2.795	3.137	3.155	3.334	4.736	0.037284478	0.747564758	39.028	38.048				
WBGene00018678	F52C12.1	FALSE	FALSE	FALSE	-0.303056123	-0.473510945	-0.003225792	5.16	4.882	4.953	4.479	5.128	5.134	-1.528800456	6.96421E-24	15.777	45.501	10.769	65.487	24.052	27.482
WBGene00006738	ulp-3	FALSE	FALSE	FALSE	-0.59415627	-0.875548445	-1.346161387	3.962	3.425	3.758	2.885	3.864	2.431	-0.410346305	0.02575817	22.942	30.498	21.251	28.237	52.649	56.79
WBGene00021655	Y48A5A.1	FALSE	FALSE	FALSE	0.133698429	-0.074758153	0.098703613	4.577	4.719	4.274	4.198	4.418	4.523	-0.629931993	0.000736789	22.464	34.761	19.204	30.545	35.535	38.234
WBGene00044466	Y48A5A.3	FALSE	FALSE	FALSE	-0.786557802	-2.336959774	-1.452593298	3.881	3.135	3.12	0.767	3.496	2.054	0.421830239	0.017498691	35.923	26.818	12.633	24.277	91.884	81.447
WBGene00022298	Y76B12C.4	FALSE	FALSE	FALSE	2.55132121	1.861847202	1.358123381	0.198	2.712	-0.131	1.603	0.647	1.958	5.098540574	6.4574E-133	63.219	1.844	121.219	0.998	2.338	2.421
WBGene00022297	Y76B12C.3	FALSE	FALSE	TRUE	0.941812045	2.019767865	2.793948546	5.03	5.965	4.614	6.63	4.634	7.419	0.570921039	3.37415E-08	93.087	62.64	58.413	102.623	450.862	428.019
WBGene00022302	Y76B12C.8	FALSE	FALSE	FALSE	-0.247222275	-0.472657509	-2.107017715	1.576	0.168	1.27	0.694	1.472	-0.515	2.670788836	9.88798E-14	3.265	0.515	5.335	0.841	7.504	5.56
WBGene00022300	Y76B12C.6	FALSE	FALSE	FALSE	-0.504153692	-1.155301067	0.239078464	4.686	4.192	4.624	3.477	4.669	4.897	-1.382869581	7.81674E-09	14.448	37.672	16.94	91.204	10.206	16.519
WBGene00220211	Y76B12C.11	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00022296	xpc-1	FALSE	FALSE	FALSE	0.742207068	0.084734578	-0.418081825	5.248	5.996	5.239	5.323	5.298	4.882	-0.176510228	0.498015121	38.535	43.549	48.066	41.759	6.43	7.694
WBGene00022301	cpsf-1	FALSE	FALSE	FALSE	-0.234041946	-0.429683458	-0.272504939	3.677	3.402	3.801	3.376	3.606	3.327	0.268767946	0.300301017	28.254	23.452	18.476	11.958	9.493	11.389
WBGene00022303	Y76B12C.9	FALSE	FALSE	FALSE	1.992312756	0.108790996	-0.158645638	-1.868	-1.093	-1.734	-1.75	-1.634	-1.602	1.884432373	0.019287023	0.257	0.074	2.444	0.252	1.132	1.149
WBGene00022295	cng-2	FALSE	FALSE	FALSE	1.156268554	-0.472702854	0.042804759	-2.407	-2.339	-2.68	-2.881	-2.897	-2.994	2.197931787	0.119380103	0.036	0.008	0.06	0.025	0.007	0.032
WBGene00201141	Y76B12C.10	FALSE	FALSE	FALSE	-0.051578817	-0.027018306		-1.273	-3.322	-2.396	-3.322	-3.322	-3.322	0.60123711		0.028	0				
WBGene00044467	R05C11.4	FALSE	FALSE	FALSE	2.008067399	0.399221358	0.573320852	0.398	2.309	0.17	0.543	0.447	0.716	0.63034013	0.0159032	1.149	0.748	0.961	1.89	1.368	2.133
WBGene00019874	R05C11.2	FALSE	FALSE	FALSE	2.162390758	0.332504177	1.555654783	-3.322	-3.322	-2.664	-2.772	-3.124	-2.955	0.240568417		0.004	0.003	0.092	0.023	0.046	0.044
WBGene00019873	arrd-26	FALSE	FALSE	FALSE	-1.717667825	0.411774099	0.556214133	-0.664	-2.456	-0.955	-0.616	-0.489	-0.002	0.397058398	0.644552015	0.106	0.084	1.379	0.381	0.188	0.191
WBGene00255572	mir-8189	FALSE	FALSE	FALSE	0.867509836	-1.397786064	-0.39396481	-0.953	-1.508	0.25	-2.155	-1.609	-3.322			0	0				
WBGene00202224	R05C11.5	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00019875	mca-2	FALSE	TRUE	FALSE	0.069569463	2.878038591	-0.071240914	3.509	3.582	2.955	5.818	3.211	3.138	0.265290105	0.482632694	1.199	0.998	2.199	1.828	0.857	0.973
WBGene00044649	C23H5.11	FALSE	FALSE	FALSE	-0.297603968	0.330249895	-1.029023106	-2.393	-3.322	-2.496	-2.3	-2.442	-2.859	-0.851002277	0.703278267	0.009	0.017	0.192	0.023	0.015	0.03
WBGene00023241	C23H5.5	FALSE	FALSE	FALSE		2.352689434		-3.322	-3.322	-3.322	-2.598	-3.322	-3.322	0.60123711		0.017	0				
WBGene00023240	C23H5.4	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00023242	C23H5.6	FALSE	FALSE	FALSE		-1.054226619		-3.322	-3.322	-2.051	-3.322	-3.322	-3.322			0	0				
WBGene00022940	C23H5.10	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322	-0.849541557		0	0.028				
WBGene00219423	C23H5.15	FALSE	TRUE	FALSE	0.371069845	3.376125514	-0.345872528	-0.133	0.18	-0.389	2.832	-0.319	-0.737	1.329008387	0.365832721	0.141	0.058				
WBGene00000487	che-6	FALSE	FALSE	FALSE	0.789813324	-1.205057931	-1.410049556	-3.028	-3.322	-2.56	-2.948	-2.85	-3.322	0.240570106		0.004	0.003				
WBGene00016027	C23H5.8	FALSE	FALSE	FALSE	0.35304031	-0.293048324	-1.619180962	4.401	4.703	4.78	4.491	4.139	2.493	0.55191502	0.619165513	5.503	3.756	12.033	0.454	1.101	1.088
WBGene00016025	xbx-4	FALSE	FALSE	FALSE	1.625356401	1.357807189	0.966707557	-0.276	0.005	-1.196	-0.026	-0.925	-0.418	1.878456494	0.4189096	0.08	0.022	0.334	0.061	0.655	0.511
WBGene00200043	C23H5.14	FALSE	FALSE	FALSE			2.032554839	-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00016024	glb-7	FALSE	FALSE	FALSE	-1.158143336	1.159841431	0.394492688	-1.047	-2.229	-0.673	0.329	-0.992	-0.679	-0.789467352	0.572837763	0.038	0.067	0.112	0.127	0.303	0.378
WBGene00001729	grl-20	FALSE	FALSE	FALSE	5.112492707	0.930985377	1.542986817	-3.322	0	-3.066	-2.961	-3.025	-2.827			0	0	0.104	0.094	0.157	0.11
WBGene00199050	C23H5.13	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00016023	prmt-6	FALSE	FALSE	FALSE	-1.591938113	-2.503183972	-2.957648763	-0.49	-2.579	0.285	-1.8	-0.062	-2.648	2.867522612	5.97551E-07	1.109	0.152	0.787	0.028	0.243	0.094
WBGene00077523	C23H5.12	FALSE	FALSE	FALSE	2.162466124	0.16174714	0.551771534	-3.322	-3.322	-2.631	-2.788	-2.779	-2.869	2.726133497	0.029503325	0.105	0.014	0.138	0.06	0.631	0.377
WBGene00016918	test-1	FALSE	TRUE	FALSE	-0.985064655	3.231388095	-1.083596194	3.478	2.519	2.927	6.157	3.247	2.191	0.864835816	1.4883E-05	39.431	21.637	22.336	0.908	3.55	3.409
WBGene00235274	C54E4.12	FALSE	FALSE	FALSE	1.45036985	-1.091994668	-0.454457965	-2.119	-2.169	-1.695	-2.622	-1.684	-2.535	-0.173027418	0.925511784	0.072	0.082				
