"","Chisq","Df","Pr(>Chisq)"
"(Intercept)",186233.848695331,1,0
"Genotype",7.09927902396686,1,0.00771149649753976
"Stage",0.516937275394829,1,0.472151085237378
"Genotype:Stage",0.187557992516923,1,0.664956898423857
