"contrast","Stage","FoldChange","SE","df","null","z.ratio","P_value","Interpretation"
"tm291 / WT","Diakinesis",0.920171856422274,0.0287314894618899,Inf,1,-2.6644472267183,0.00771149649753975,"Small/no change"
"tm291 / WT","Post-diakinesis",0.941661406213529,0.0416188166124604,Inf,1,-1.36002920563407,0.173820681967058,"Small/no change"
